JS187_JS16_5E-5_H2O_100_0_ASPREP,,
Wavelength (nm),Abs,
800,0.0320580937,
799,0.03270190209,
798,0.03229398653,
797,0.03170045838,
796,0.03240526095,
795,0.03255991638,
794,0.03236663342,
793,0.03281361237,
792,0.03309603781,
791,0.03267675638,
790,0.03196078911,
789,0.03278273717,
788,0.03290795907,
787,0.03311031312,
786,0.03288073465,
785,0.03354136646,
784,0.03323319554,
783,0.03345264494,
782,0.03418944776,
781,0.03355568275,
780,0.03358496353,
779,0.03384228423,
778,0.03475652263,
777,0.03435191512,
776,0.03394969925,
775,0.03398737311,
774,0.03440436348,
773,0.03416477516,
772,0.03457044438,
771,0.03510638699,
770,0.03420294821,
769,0.03475742042,
768,0.03510655463,
767,0.03515774757,
766,0.03479269892,
765,0.0354340598,
764,0.03540656343,
763,0.03560129181,
762,0.03600940108,
761,0.03570189327,
760,0.03567744419,
759,0.03569382802,
758,0.03640244156,
757,0.03571729362,
756,0.03626987711,
755,0.03661487997,
754,0.03601272032,
753,0.03683125228,
752,0.03663698584,
751,0.03716167063,
750,0.03707722202,
749,0.0369102098,
748,0.03689178079,
747,0.03763478622,
746,0.0372316353,
745,0.03784020245,
744,0.03770988435,
743,0.03830119967,
742,0.03862953931,
741,0.03847052902,
740,0.0381266214,
739,0.03825678304,
738,0.03821687028,
737,0.03865033388,
736,0.03843559697,
735,0.03880462795,
734,0.03861607239,
733,0.03968913853,
732,0.038944792,
731,0.03946793452,
730,0.03980484605,
729,0.04006738216,
728,0.03953209147,
727,0.03990665451,
726,0.04050540179,
725,0.04015962407,
724,0.04049341008,
723,0.04018111899,
722,0.0408776179,
721,0.04049730301,
720,0.04128641635,
719,0.04112799466,
718,0.04105316103,
717,0.04121491313,
716,0.04162970185,
715,0.04227731004,
714,0.04130449519,
713,0.04227174446,
712,0.04248102382,
711,0.04218190536,
710,0.04181464389,
709,0.04288153723,
708,0.04298040643,
707,0.04272687435,
706,0.0430241935,
705,0.04298017919,
704,0.04353719577,
703,0.04357585683,
702,0.04377608746,
701,0.04379123077,
700,0.04443252459,
699,0.04510147125,
698,0.04480620101,
697,0.04499881342,
696,0.04481323063,
695,0.04542019591,
694,0.0454332158,
693,0.04552717879,
692,0.04568037018,
691,0.04619047418,
690,0.04668172076,
689,0.04659935087,
688,0.04721874744,
687,0.04741526395,
686,0.04785084724,
685,0.04851703718,
684,0.04840804264,
683,0.04910071194,
682,0.04980276152,
681,0.04991611466,
680,0.05064717308,
679,0.05118245631,
678,0.05146921799,
677,0.05264109001,
676,0.05288399011,
675,0.05352146924,
674,0.05401439965,
673,0.05505160242,
672,0.05623484775,
671,0.05716314539,
670,0.05863089859,
669,0.05955207348,
668,0.06059528142,
667,0.06248563528,
666,0.06421595067,
665,0.06549082696,
664,0.06761850417,
663,0.06924578547,
662,0.07114205509,
661,0.07379639894,
660,0.07614623755,
659,0.07836326212,
658,0.08138911426,
657,0.08428413421,
656,0.08762720227,
655,0.09022092074,
654,0.09377529472,
653,0.09759474546,
652,0.1010739878,
651,0.1047242209,
650,0.1081840098,
649,0.1119297221,
648,0.1156675816,
647,0.1193217933,
646,0.1225872785,
645,0.1258629113,
644,0.1292910874,
643,0.1319333762,
642,0.1349651963,
641,0.1371734291,
640,0.1392112672,
