TITLE	10% S-JS before DT
DATA TYPE	CD SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	2025/11/12
TIME	16:32:11
SPECTROMETER/DATA SYSTEM	JASCO Corp., J-1500, Rev. 1.00
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	CD [mdeg]
Y2UNITS	LD [dOD]
Y3UNITS	HT [V]
Y4UNITS	ABSORBANCE
FIRSTX	  700.0000
LASTX	  300.0000
NPOINTS	     401
FIRSTY	    -1.45232
MAXY	    17.81847
MINY	   -10.90321
XYDATA
Channel 1
	0	57
700	-1.45232	-1.47996
699	-1.51216	-1.41687
698	-1.38541	-1.14141
697	-1.30385	-0.914146
696	-1.29366	-0.517637
695	-1.17175	-0.803538
694	-1.30768	-0.880925
693	-1.26179	-0.631736
692	-1.1322	0.314028
691	-1.31435	0.000185587
690	-1.07683	-0.215871
689	-1.20589	-0.515956
688	-0.524906	-0.251632
687	-0.358545	-0.0549072
686	0.00385473	0.459228
685	0.195693	0.423456
684	0.107779	0.254803
683	0.270007	0.0197809
682	-0.0547889	0.308942
681	0.230187	0.838115
680	0.418595	0.747485
679	0.232185	0.500015
678	-0.129366	0.252951
677	-0.0412898	0.404852
676	-0.200363	-0.188242
675	-0.466411	-0.424966
674	-0.133832	-0.34788
673	-0.221345	-0.614016
672	-0.479587	-0.735268
671	-0.585285	-1.21255
670	-0.575403	-1.01947
669	-0.481302	-0.705203
668	-0.452489	-0.559192
667	-0.0507404	-0.0375224
666	0.0225586	0.229667
665	0.143927	0.389056
664	0.209199	0.322227
663	0.222133	0.764102
662	0.73076	0.677359
661	0.516018	0.182904
660	0.757033	0.395787
659	0.588942	0.292672
658	0.23191	0.00890338
657	0.262256	-0.139315
656	0.330832	-0.314407
655	0.108614	-0.351098
654	-0.417765	-0.373952
653	-0.51219	-0.359067
652	-0.411054	-0.238643
651	-0.731129	-0.4322
650	-0.854501	-0.574324
649	-0.41811	-0.55502
648	-0.00824709	-0.149993
647	-0.0547398	-0.377408
646	-0.0718642	-0.43324
645	0.0354697	-0.513104
644	-0.118985	-0.687521
643	0.330994	-0.602853
642	0.333998	-0.322972
641	-0.213182	-0.429096
640	-0.152473	-0.331311
639	-0.415357	-0.451207
638	-0.178657	-0.293336
