TITLE	100%S-JS after 7-30 hrs
DATA TYPE	CD SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	2025/11/18
TIME	19:18:39
SPECTROMETER/DATA SYSTEM	JASCO Corp., J-1500, Rev. 1.00
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	CD [mdeg]
Y2UNITS	LD [dOD]
Y3UNITS	HT [V]
Y4UNITS	ABSORBANCE
FIRSTX	  700.0000
LASTX	  300.0000
NPOINTS	     401
FIRSTY	    -1.86355
MAXY	    21.57214
MINY	   -24.18535
XYDATA
Channel 1
	0	1.01667
700	-1.86355	-2.58651
699	-1.81579	-2.69361
698	-2.05582	-2.69583
697	-2.10952	-2.64907
696	-2.09538	-2.87525
695	-1.96366	-2.95005
694	-2.0503	-2.87842
693	-2.48104	-2.81005
692	-2.42006	-2.88999
691	-2.8742	-2.92224
690	-2.65256	-2.68269
689	-2.25663	-2.43693
688	-2.32657	-2.07333
687	-2.00182	-2.17122
686	-2.09494	-2.13071
685	-2.01026	-2.26716
684	-1.74802	-2.11598
683	-1.73633	-1.83206
682	-1.69339	-1.74266
681	-1.65755	-2.16697
680	-1.40528	-2.08226
679	-1.98015	-2.13824
678	-1.98907	-1.96514
677	-2.26485	-2.38415
676	-3.24355	-2.84718
675	-3.39055	-3.31952
674	-3.37497	-3.40913
673	-3.3394	-2.72535
672	-3.85976	-2.90242
671	-4.12431	-3.21251
670	-4.20239	-3.05556
669	-3.92403	-2.63106
668	-2.8634	-2.02867
667	-2.60427	-1.96358
666	-2.97613	-2.30044
665	-3.00221	-2.10283
664	-2.58286	-1.87823
663	-2.78419	-1.82417
662	-3.06549	-1.88036
661	-2.84653	-1.82804
660	-3.37114	-1.95993
659	-3.74474	-1.9427
658	-3.24862	-1.97426
657	-3.4179	-2.52088
656	-3.48504	-2.79517
655	-3.00433	-2.68707
654	-2.74182	-2.33033
653	-2.4825	-2.18494
652	-2.90376	-2.48536
651	-3.02461	-2.41344
650	-2.89073	-1.97466
649	-2.57704	-1.75645
648	-2.55931	-1.49282
647	-2.6721	-1.43301
646	-2.54666	-1.48892
645	-2.86247	-1.76385
644	-2.44279	-1.55358
643	-1.68622	-1.35822
642	-1.8853	-1.38202
641	-1.75022	-1.48827
640	-1.68306	-1.89931
639	-1.19867	-1.37446
638	-0.882409	-1.10191
637	-0.735554	-0.78436
636	-0.504879	-0.695381
635	-0.715438	-0.716959
634	-0.228856	-0.706552
633	-0.409994	-0.851458
632	-0.693193	-0.715601
631	-1.08313	-0.888297
630	-0.789651	-0.58473
629	-0.747174	-0.712664
628	-1.13948	-0.983061
627	-1.67603	-1.20327
626	-1.56913	-1.18362
625	-1.4552	-1.4452
624	-1.55563	-1.59393
623	-1.28198	-1.50564
622	-1.09366	-1.43201
621	-1.79507	-2.09475
620	-1.57617	-2.28079
619	-1.66486	-1.92383
618	-1.86471	-2.12071
617	-2.18885	-1.45694
616	-1.81752	-1.31305
615	-2.34539	-1.46746
614	-2.34168	-1.43707
613	-2.12173	-1.40228
612	-2.34865	-1.2872
611	-2.38719	-1.81973
610	-2.20829	-1.85414
609	-2.10713	-1.92226
608	-2.71361	-2.11752
607	-2.2383	-2.41011
606	-2.91083	-2.7208
605	-2.7033	-2.77014
604	-2.57943	-2.53058
603	-2.25965	-1.98739
602	-2.0135	-1.62767
601	-1.98487	-1.73367
600	-2.20371	-2.01275
599	-2.0686	-1.88158
598	-1.75143	-1.73079
597	-1.8536	-1.90998
596	-1.78197	-1.73021
595	-1.72618	-1.69715
594	-1.67354	-1.68043
593	-1.90505	-1.45054
592	-1.83692	-1.40748
591	-1.88946	-0.908265
590	-1.54403	-0.584981
589	-1.2019	-0.0441218
588	-0.615967	-0.272668
587	-0.465771	-0.362981
586	0.177809	-0.330892
585	0.478101	-0.348501
584	1.10642	-0.14758
583	1.37136	-0.292774
582	1.46451	0.519838
581	2.16952	0.964468
580	2.58246	1.52126
579	3.50368	2.59434
578	4.01244	4.01794
577	5.1974	4.96967
576	6.39714	5.89125
575	8.08966	7.36519
574	9.73719	8.62751
573	11.2907	10.0388
572	12.6353	11.9148
571	14.0856	13.639
570	15.4751	15.1599
569	16.9881	17.0037
568	18.1544	18.1845
567	19.919	19.2588
566	20.5269	19.9683
565	20.9529	20.6865
564	21.5721	21.0107
563	21.3228	20.7423
562	21.253	20.011
561	20.4782	19.3015
560	19.709	18.7983
559	19.3731	17.9889
558	18.6655	17.0512
557	17.4925	16.0019
556	16.8623	14.7008
555	16.477	13.9586
554	15.6453	13.8683
553	15.274	13.0377
552	14.6809	12.7697
551	13.7772	12.1624
550	12.8846	12.4723
549	12.8637	12.3416
548	12.2669	12.3012
547	11.5988	13.2174
546	11.8484	13.072
545	12.1597	13.1573
