TITLE	100%S-JS for 6 hrs
DATA TYPE	CD SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	2025/11/18
TIME	19:14:08
SPECTROMETER/DATA SYSTEM	JASCO Corp., J-1500, Rev. 1.00
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	CD [mdeg]
Y2UNITS	LD [dOD]
Y3UNITS	HT [V]
Y4UNITS	ABSORBANCE
FIRSTX	  700.0000
LASTX	  300.0000
NPOINTS	     401
FIRSTY	    -4.31711
MAXY	    23.13002
MINY	    -9.96572
XYDATA
Channel 1
	0	15	30	45	60	75	90	105	120	135	150	165	180	195	210	225	240	255	270	285	300	315	330	345	360	375	390	405	420
700	-4.31711	-3.27955	-2.9729	-4.19977	-4.17745	-4.5338	-4.77838	-4.41951	-4.95754	-5.2946	-5.17608	-5.08799	-5.26938	-5.46359	-5.57104	-5.83252	-5.87787	-5.86214	-5.58476	-5.94745	-5.2314	-5.00507	-4.52084	-5.32511	-4.55921	-3.42299	-2.98698	-3.41171	-2.81883
699	-4.46463	-3.86625	-3.56684	-4.6713	-4.77718	-4.19381	-4.95216	-4.37138	-5.15732	-5.60485	-5.40513	-5.46588	-5.33251	-5.94997	-5.55222	-6.14532	-6.03065	-5.97083	-5.72636	-6.4034	-5.16829	-4.82085	-4.63268	-5.38912	-4.51366	-4.05484	-2.98379	-3.97112	-3.27972
698	-5.07737	-4.05869	-3.67682	-4.59469	-5.10791	-4.04392	-4.82838	-5.02012	-5.72636	-5.81996	-5.05473	-5.72056	-5.6797	-5.631	-6.02425	-6.44832	-5.93626	-5.98281	-5.97282	-6.36603	-5.03823	-4.69159	-4.52295	-5.40537	-4.32478	-4.41432	-3.09368	-3.89628	-3.36663
697	-5.60411	-3.98599	-3.88656	-4.60738	-5.39424	-3.75284	-4.78603	-4.88377	-5.47912	-5.6274	-4.97169	-5.18658	-5.65255	-5.46625	-5.36203	-6.47566	-5.25907	-6.12054	-5.97377	-6.13364	-4.84155	-4.43392	-4.63722	-5.19231	-4.42288	-4.32683	-3.19662	-3.92441	-3.31522
696	-6.47761	-4.45685	-4.36156	-4.78036	-5.78253	-4.06081	-4.72503	-4.93019	-5.72694	-6.05728	-5.5743	-5.60699	-5.72489	-5.53559	-5.41801	-6.75006	-5.67871	-6.12921	-6.07957	-6.61961	-5.08189	-4.67908	-5.18338	-5.29761	-4.65326	-4.78202	-3.91565	-3.91405	-3.87692
695	-6.24517	-4.30457	-3.9049	-4.72772	-5.66479	-3.96573	-4.60927	-4.74754	-5.96946	-6.1011	-5.48274	-5.70374	-5.9998	-5.25102	-5.21538	-6.41662	-5.57473	-5.81022	-5.92438	-6.50414	-5.39204	-4.94335	-5.13149	-5.0588	-4.28684	-4.72252	-3.86278	-4.07426	-3.74724
694	-6.23148	-4.43069	-4.29414	-4.85497	-5.23076	-4.33224	-4.74832	-5.00433	-5.87616	-5.77873	-5.89226	-5.39789	-5.98034	-5.31833	-5.53425	-6.62859	-5.90247	-5.83426	-6.20187	-6.22799	-5.27417	-5.07162	-5.23883	-5.04393	-4.74596	-5.08096	-4.05287	-4.00337	-3.77933
693	-5.64913	-3.83323	-3.94986	-4.38913	-5.13734	-4.03826	-4.36188	-5.27273	-5.80242	-5.41563	-6.06386	-5.17542	-5.24348	-5.23021	-5.32136	-6.41152	-5.88965	-5.70909	-5.95516	-5.81612	-5.26708	-5.16513	-5.01968	-5.18602	-4.50472	-4.71208	-4.04968	-3.77691	-3.75369
692	-5.7602	-4.37697	-4.26347	-4.20704	-4.8045	-3.82725	-4.25495	-5.36765	-5.28918	-5.32736	-5.99121	-5.32885	-5.33162	-5.13735	-5.21211	-6.40854	-6.12699	-5.9592	-5.84738	-5.75452	-5.36154	-5.0167	-4.78275	-5.21598	-4.49468	-4.8895	-4.03675	-3.9608	-3.88448
691	-5.69229	-3.7448	-3.81147	-3.77435	-4.3093	-3.48564	-3.89596	-5.10583	-4.90705	-4.635	-5.66949	-5.1875	-5.31438	-4.79177	-5.02921	-5.77231	-5.93475	-6.05164	-5.87087	-5.3115	-5.22084	-5.04087	-4.40853	-4.74513	-4.82877	-4.84851	-3.93691	-3.72048	-3.5682
690	-5.59166	-3.28702	-3.52159	-3.61895	-3.77634	-3.45156	-3.72591	-4.70466	-4.36479	-4.17397	-5.70503	-4.58058	-4.95462	-4.60071	-4.83871	-5.30319	-5.67427	-5.98043	-5.83844	-5.05918	-4.8529	-4.73072	-4.47795	-4.62414	-4.78911	-4.38836	-3.53822	-3.5554	-3.27323
689	-5.45329	-3.08501	-3.08678	-3.41567	-3.2678	-3.23076	-3.29244	-4.67769	-4.2173	-4.09844	-5.78553	-4.37339	-4.79052	-4.54704	-4.92867	-4.88205	-5.67926	-5.67951	-5.71556	-4.80863	-5.23772	-4.60774	-4.13874	-4.44366	-4.27075	-4.14196	-3.40606	-3.0091	-2.66644
688	-4.72213	-2.66224	-2.68456	-2.90337	-3.03157	-3.02444	-3.42308	-4.83612	-4.14599	-4.12207	-5.20455	-4.07141	-4.6918	-4.04505	-4.76999	-4.72724	-5.62325	-5.82327	-5.46402	-4.49188	-5.44598	-4.72014	-3.82509	-4.16123	-3.84746	-3.65145	-3.02391	-3.21733	-2.69609
687	-4.32302	-1.97258	-2.9527	-2.502	-2.88075	-2.78004	-3.25678	-4.51193	-3.84109	-3.5973	-4.70516	-3.80353	-4.30641	-3.67714	-4.63319	-4.67746	-5.46919	-5.74064	-5.10983	-4.59698	-4.86276	-4.3933	-3.80224	-4.09283	-3.84702	-3.53482	-2.82924	-2.74115	-2.06279
686	-4.42244	-1.877	-3.07059	-2.53121	-3.28589	-2.9888	-3.24312	-4.43521	-3.48396	-3.76927	-4.23094	-3.60974	-4.49137	-3.45955	-4.38907	-4.47612	-5.50023	-5.58045	-5.01006	-5.04796	-4.71283	-4.3888	-3.69593	-4.92709	-4.14233	-3.27209	-2.96818	-2.69686	-2.12599
685	-4.49295	-2.12511	-3.09099	-2.41513	-3.09291	-3.04701	-2.98028	-4.36299	-3.62203	-3.71757	-3.96612	-3.85397	-4.94	-3.40343	-4.37671	-4.42201	-5.3243	-5.75293	-4.84406	-5.21988	-4.58066	-3.9209	-3.43876	-4.6435	-4.10443	-3.35992	-3.17392	-2.6839	-1.90461
684	-4.0973	-1.70702	-2.89238	-2.23809	-2.90991	-3.27145	-2.99132	-4.4218	-3.70348	-3.78853	-3.75066	-3.32903	-5.13693	-3.25048	-4.33549	-4.58705	-4.98734	-5.28056	-4.78222	-5.11887	-4.41694	-3.94568	-3.62492	-4.81648	-4.0244	-3.44347	-3.50027	-2.50109	-1.66586
683	-3.77179	-2.0551	-2.69729	-2.5747	-3.25006	-3.72577	-3.47208	-4.77831	-4.07412	-3.86466	-4.21018	-3.37729	-5.27301	-3.26954	-4.7335	-4.80823	-4.89915	-5.06046	-4.8884	-5.31483	-4.61514	-4.1537	-4.10911	-4.71647	-3.92067	-3.35855	-3.18462	-2.24512	-1.47657
682	-3.53813	-1.89932	-3.20953	-2.59289	-3.19499	-3.934	-3.56976	-4.91225	-4.30763	-4.27585	-4.58097	-3.59295	-4.92274	-3.56557	-4.48821	-4.99612	-5.22612	-5.06589	-4.98824	-5.63164	-4.60148	-4.38301	-3.92222	-4.75387	-3.91948	-3.80101	-3.11425	-2.77281	-1.61104
681	-3.51056	-2.06914	-2.95403	-3.04466	-3.22666	-3.65241	-4.04519	-4.8305	-4.31289	-4.4977	-4.30267	-3.70247	-5.10995	-3.48826	-4.36697	-5.1413	-5.42083	-5.024	-4.48009	-5.73614	-4.32235	-4.30907	-3.81076	-4.8818	-3.961	-3.97622	-3.17996	-2.86196	-2.28274
680	-3.79899	-1.78018	-3.17327	-3.40138	-3.27369	-3.59551	-4.08625	-4.33535	-4.37353	-4.29561	-4.19422	-3.93736	-4.93642	-3.82809	-4.69046	-5.14675	-4.96165	-4.81246	-4.72214	-5.93027	-3.89364	-4.24699	-3.86275	-4.60098	-4.40999	-4.2417	-3.43071	-2.99389	-2.05129
679	-4.04648	-2.11356	-3.22509	-3.62064	-3.17285	-3.70675	-4.24627	-4.61691	-4.61445	-4.59952	-4.36665	-4.30638	-4.86048	-4.34773	-4.53769	-5.37802	-4.96235	-4.68956	-4.87303	-6.02584	-3.98933	-4.37384	-3.99878	-4.63484	-4.50556	-4.52802	-3.60355	-3.72525	-2.51185
678	-3.86829	-2.44482	-3.03531	-3.74456	-3.1427	-3.38944	-3.96868	-4.40205	-4.65922	-4.43583	-4.23464	-4.48445	-4.79802	-4.45813	-4.25897	-5.00622	-4.55054	-5.00545	-4.87414	-6.20643	-3.91777	-4.26894	-3.99974	-3.86776	-4.35324	-4.8983	-3.26582	-3.72417	-2.40723
677	-3.75606	-2.43401	-3.06555	-4.13658	-3.41194	-3.60459	-4.23528	-4.43822	-4.41786	-4.64489	-4.51313	-4.64439	-4.76661	-4.95767	-4.44234	-5.16008	-4.89487	-4.78487	-5.17412	-5.98355	-3.92109	-4.10377	-4.57224	-3.92881	-4.49862	-4.95514	-3.26965	-3.88196	-2.67463
676	-4.26422	-2.95692	-3.69136	-4.84299	-3.88233	-4.1233	-4.68003	-4.64168	-4.91629	-4.74267	-4.91381	-5.07658	-4.93267	-5.27936	-4.85348	-5.46551	-5.38679	-5.48852	-5.62657	-6.53765	-4.39376	-4.4174	-4.84254	-4.08164	-4.59105	-5.86435	-3.27478	-3.98956	-3.37039
675	-4.7164	-3.49484	-3.24838	-5.10545	-4.18883	-3.88182	-4.61369	-4.4562	-4.85493	-4.95564	-4.81205	-5.16135	-4.77105	-5.47043	-4.55836	-5.46747	-5.43611	-5.58018	-5.59266	-6.27103	-4.48976	-4.43963	-4.379	-4.48186	-5.1839	-5.81971	-3.48785	-4.16933	-3.47224
