TITLE	100%S-JS
DATA TYPE	CD SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	2025/11/18
TIME	11:56:23
SPECTROMETER/DATA SYSTEM	JASCO Corp., J-1500, Rev. 1.00
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	CD [mdeg]
Y2UNITS	LD [dOD]
Y3UNITS	HT [V]
Y4UNITS	ABSORBANCE
FIRSTX	  700.0000
LASTX	  300.0000
NPOINTS	     401
FIRSTY	    -2.63205
MAXY	    61.58582
MINY	   -46.12774
XYDATA
Channel 1
	0	0.983333
700	-2.63205	-2.44899
699	-2.95415	-2.73625
698	-3.15816	-2.88284
697	-3.28055	-3.1132
696	-3.91046	-3.46517
695	-3.94008	-3.06909
694	-4.19181	-2.90468
693	-4.11848	-2.93348
692	-4.27261	-3.09605
691	-3.94897	-3.31263
690	-3.6709	-2.84434
689	-3.43869	-2.32439
688	-2.92551	-2.39013
687	-2.16974	-2.04629
686	-2.34542	-2.10996
685	-2.30645	-1.83848
684	-2.05106	-1.55658
683	-1.7129	-1.74215
682	-1.74213	-1.8165
681	-1.70342	-2.10254
680	-1.88432	-2.31361
679	-2.29612	-2.48712
678	-2.13252	-2.33933
677	-1.99438	-2.9054
676	-2.8906	-3.47879
675	-3.13589	-3.48714
674	-3.07785	-3.07114
673	-3.06247	-3.16736
672	-3.31517	-3.46694
671	-3.67647	-4.12689
670	-3.85706	-4.10852
669	-3.57045	-3.83821
668	-2.90107	-3.16672
667	-2.87754	-3.27281
666	-3.29605	-3.8707
665	-3.22816	-3.65038
664	-2.9725	-3.54425
663	-3.10702	-3.63478
662	-3.09447	-3.65038
661	-3.37288	-3.47765
660	-3.35127	-3.40681
659	-3.46745	-3.2637
658	-3.19472	-2.93774
657	-3.39664	-3.28852
656	-3.35392	-3.25565
655	-3.15093	-2.78877
654	-3.06058	-2.65935
653	-2.64555	-2.17731
652	-3.13744	-2.94953
651	-3.19402	-3.16388
650	-3.30442	-3.4812
649	-3.18427	-3.19057
648	-3.16871	-2.73799
647	-3.39335	-2.91998
646	-3.11241	-2.75081
645	-3.37899	-2.93628
644	-3.18556	-2.8087
643	-2.378	-2.50461
642	-2.00568	-2.23779
641	-2.00469	-2.14926
640	-2.3126	-2.70408
639	-1.8108	-2.68378
638	-1.59464	-2.31561
637	-1.57987	-2.15792
636	-1.64553	-1.92602
635	-1.93741	-1.57959
634	-1.97946	-1.45846
633	-2.17228	-1.75541
632	-2.27754	-1.72959
631	-2.25015	-1.92036
630	-2.14986	-1.73949
629	-2.59588	-1.61271
628	-2.61991	-1.83983
627	-3.06934	-2.28333
626	-2.68567	-2.63569
625	-2.61042	-2.47805
624	-2.82809	-2.7972
623	-2.74529	-2.67099
622	-2.91084	-2.44015
621	-3.27672	-2.93514
620	-3.08737	-3.30689
619	-2.97632	-3.21487
618	-2.69389	-3.3268
617	-3.15193	-2.71141
616	-2.86606	-2.68065
615	-3.21201	-2.70532
614	-3.01016	-2.85987
613	-2.79425	-2.6497
612	-2.6058	-2.42899
611	-2.59276	-2.76348
610	-3.02782	-2.81036
609	-2.90943	-2.9936
608	-3.42168	-2.99561
607	-2.99174	-2.88053
606	-3.34162	-3.20555
605	-3.31103	-3.10862
604	-3.54726	-3.11359
603	-3.43016	-2.90163
602	-2.98899	-2.57142
601	-2.65859	-2.79814
600	-2.15708	-2.58304
599	-2.50523	-2.79085
598	-2.28667	-2.44961
597	-2.40176	-2.62086
596	-2.19471	-2.18357
595	-1.59395	-1.94645
594	-1.47395	-1.99257
593	-1.44964	-1.98624
592	-1.90333	-1.79524
591	-1.18263	-1.4903
590	-1.12175	-0.98189
589	-0.15449	-0.446776
588	0.483453	0.188025
587	0.793697	1.07875
586	1.73652	1.99264
585	2.16288	2.66576
584	3.53363	4.09823
583	4.29709	5.22054
582	5.74321	6.64064
581	7.34463	8.74145
580	9.31471	10.1922
579	11.081	12.0652
578	12.8888	14.332
577	15.8733	16.9723
576	18.4188	19.6949
575	21.3281	22.6024
574	24.6915	25.5976
573	28.5139	28.6929
572	32.2193	32.5441
571	35.4716	35.7525
570	40.1104	40.0514
569	44.474	43.9313
568	48.4392	47.346
567	52.0055	50.2937
566	55.4527	53.1573
565	58.0363	55.488
564	60.1169	57.77
563	61.5858	59.2049
562	61.4225	59.4914
561	61.357	58.5564
560	60.1856	58.1553
559	58.9098	57.8102
558	57.2018	56.7461
557	54.2351	54.515
556	52.1131	52.1334
555	49.5943	49.4276
554	47.6715	46.7291
553	45.4479	44.8696
552	44.7248	44.3703
551	42.7855	42.0483
550	41.4748	40.1832
549	40.8355	39.281
548	40.2768	38.8133
547	39.9402	38.289
546	40.0515	38.5924
545	39.9915	38.6086
544	40.469	39.1094
543	40.6374	39.9533
542	41.4366	41.0161
541	43.1853	42.3443
540	44.5679	43.5507
539	45.6177	45.2233
538	46.7271	47.4354
537	48.8345	49.4585
536	50.4919	50.2979
535	52.2077	52.0202
534	53.4775	52.7587
533	54.0574	54.2334
532	54.581	54.6391
531	55.0662	55.5308
530	55.8852	55.5698
529	55.6053	55.6918
528	54.7607	55.568
527	53.6911	54.1023
526	52.6467	52.3678
525	50.5663	50.2006
524	48.3999	48.3798
523	46.4687	46.5392
522	44.1402	42.7227
521	40.828	39.3354
520	37.7457	36.7477
519	36.0286	34.7232
