TITLE	40% S-JS BEFORE
DATA TYPE	CD SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	2026/03/10
TIME	13:34:29
SPECTROMETER/DATA SYSTEM	JASCO Corp., J-1500, Rev. 1.00
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	CD [mdeg]
Y2UNITS	LD [dOD]
Y3UNITS	HT [V]
Y4UNITS	ABSORBANCE
FIRSTX	  900.0000
LASTX	  300.0000
NPOINTS	     601
FIRSTY	     4.64612
MAXY	    40.59792
MINY	   -25.08105
XYDATA
Channel 1
	30	114
900	4.64612	5.91954
899	2.62293	4.06599
898	6.25984	7.11314
897	8.41365	6.81931
896	8.73855	7.83519
895	11.2187	11.2327
894	10.3528	10.2915
893	6.13465	4.75958
892	4.24104	2.84671
891	4.68118	5.05444
890	2.16378	4.07088
889	0.999092	4.4974
888	1.41864	2.89774
887	2.39473	3.18481
886	2.97428	4.79401
885	2.07068	3.62654
884	0.137396	1.83604
883	0.460246	-0.031356
882	1.01377	0.15626
881	-1.78474	-2.74315
880	-1.03599	-2.67074
879	-1.86962	-2.73282
878	-4.3886	-6.29936
877	-5.87716	-8.4064
876	-6.79825	-8.56619
875	-4.28191	-5.72031
874	-3.35865	-4.99908
873	0.167486	-2.78058
872	-1.31226	-2.62074
871	-0.594398	-1.22173
870	-3.14936	0.428107
869	-1.42903	2.06979
868	-0.933425	2.88718
867	-1.40174	1.27569
866	-0.13593	3.4376
865	-2.15164	1.70346
864	-1.97247	4.04004
863	-2.12903	1.31466
862	-0.377646	1.57485
861	0.806429	1.461
860	2.52973	3.76777
859	6.09974	8.13469
858	5.01911	8.03716
857	5.31273	8.47262
856	5.52519	6.21795
855	6.31195	7.10308
854	6.67983	7.33782
853	7.32692	9.04912
852	5.03332	7.48342
851	2.77847	3.53111
850	4.10224	4.98614
849	3.7632	4.8366
848	4.40987	5.36304
847	3.17886	3.63586
846	3.24859	4.03411
845	3.30507	3.82031
844	3.54789	4.27553
843	4.9656	4.59764
842	5.83347	5.31426
841	5.8851	4.41319
840	5.31414	3.983
839	4.90898	4.11659
838	4.98979	4.3857
837	5.78454	5.41404
836	5.72751	5.3764
835	4.9605	4.82074
834	3.48576	3.32464
833	2.21905	2.06414
832	1.64446	1.69002
831	1.51811	1.03247
830	1.6644	1.22711
829	1.42896	0.523413
828	0.978519	0.12665
827	1.71503	0.447065
826	0.968123	0.746229
825	1.61616	1.68655
824	2.42867	2.65392
823	1.773	2.49995
822	2.24489	2.82386
821	1.79543	2.33327
820	2.42919	3.51183
819	3.08287	3.36638
818	3.19602	2.75793
817	2.26791	2.19295
816	2.35432	0.928118
815	3.56357	2.21261
814	4.08214	3.25252
813	5.35499	4.63328
812	5.41262	3.99502
811	5.65316	4.79764
810	6.37303	5.70965
809	6.61532	5.53855
808	7.44075	6.03261
807	6.95498	6.83718
806	6.50927	5.63035
805	5.77817	5.12804
804	5.41949	4.35003
803	4.73364	3.63555
802	4.26652	3.30567
801	3.79855	3.13693
800	4.34826	3.98219
799	3.99647	2.75558
798	2.15101	1.29242
797	2.98502	1.33223
796	2.68791	1.55839
795	3.52038	3.14271
794	3.50372	3.03529
793	4.07586	3.55491
792	4.50455	4.41578
791	4.15818	4.1984
790	5.07252	5.12526
789	5.31086	6.58935
788	5.37809	6.58565
787	4.73825	6.14549
786	5.58257	6.13645
785	5.61138	6.02696
784	5.24322	5.30077
783	4.85285	5.01735
782	5.1868	5.31807
781	4.96418	4.46421
780	3.89278	2.88173
779	4.32324	3.51159
778	4.64178	3.05322
777	4.72552	3.87754
776	4.1615	3.23994
775	3.35934	2.84361
774	4.05549	3.36462
773	3.80019	3.25912
772	3.47553	3.62523
771	3.12692	3.14931
770	2.77861	3.30735
769	1.75045	2.5959
768	2.75221	3.59487
767	3.16549	4.20076
766	2.51306	3.78897
765	2.85701	4.41043
764	3.56301	4.78911
763	3.84804	5.13617
762	3.29512	4.54411
761	3.75975	4.6482
760	3.61238	4.53989
759	3.16829	3.28384
758	3.18106	3.2592
757	2.9155	2.80045
756	1.76247	1.53339
755	1.90378	1.57007
754	2.80492	2.3806
753	3.12387	2.46884
752	3.4292	3.0773
751	3.34224	3.51934
750	3.2107	3.26521
749	3.45447	3.79215
748	3.66951	4.58102
747	2.66539	3.89918
746	1.82436	2.90511
745	1.87855	2.66262
744	1.55779	2.46082
743	1.2012	2.42473
742	1.02156	2.31519
741	0.992173	2.01372
740	0.755153	0.967251
739	1.77341	2.04605
738	1.96413	2.7074
737	1.58138	1.82485
736	1.57541	1.47233
735	1.53971	1.07183
734	1.77467	1.08803
733	1.57696	0.963325
732	2.03916	0.935793
731	1.95825	0.819769
730	1.62742	-0.0255025
729	1.49385	0.656033
728	1.9789	1.10487
727	2.47626	1.97161
726	3.04178	2.98396
725	2.85865	2.78202
724	2.90984	2.79511
723	2.62494	2.6636
722	3.07807	3.08597
721	3.58985	3.51943
720	2.98504	3.20316
719	3.0168	3.13977
718	3.0512	2.2877
717	4.15224	3.19821
716	3.88624	3.22167
715	4.11247	3.35493
714	3.97893	3.31742
713	3.44642	3.19682
712	3.86058	3.62887
711	3.22578	3.09417
710	2.69457	2.9062
709	2.49542	3.19326
708	2.20867	2.63966
707	2.27135	3.29007
706	1.58936	3.16261
705	1.69987	3.46768
704	1.24685	2.73351
703	1.80472	3.1798
702	1.93646	3.32306
701	1.79803	2.79394
700	1.66587	2.68525
699	1.33655	2.08608
698	1.99189	2.29188
697	2.313	1.87167
