TITLE	10% R-JS for 6 hrs
DATA TYPE	CD SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	2025/11/19
TIME	18:42:04
SPECTROMETER/DATA SYSTEM	JASCO Corp., J-1500, Rev. 1.00
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	CD [mdeg]
Y2UNITS	LD [dOD]
Y3UNITS	HT [V]
Y4UNITS	ABSORBANCE
FIRSTX	  900.0000
LASTX	  300.0000
NPOINTS	     601
FIRSTY	     8.51568
MAXY	    14.14348
MINY	   -12.92692
XYDATA
Channel 1
	0	10	20	30	40	50	60	70.0167	80.0167	90.0167	100.017	110.017	120.017	130.033	140.033	150.033	160.033	170.033	180.05	190.05	200.05	210.05	220.05	230.05	240.067	250.067	260.067	270.067	280.067	290.083	300.083	310.083	320.083	330.083	340.083	350.1	360.1
900	8.51568	-0.364467	5.68077	8.41383	7.57025	-1.58469	1.29334	1.04549	3.18192	-5.7215	-3.11902	-2.06296	-3.26671	1.34146	-9.39364	1.29789	-4.27031	0.185686	-1.38527	2.18827	1.19786	-2.76524	0.874636	-2.58523	4.43794	-4.25871	-1.12384	-4.06128	0.508536	-2.54813	-0.724949	0.716424	-1.29947	3.92661	-1.6289	-1.43242	6.44113
899	8.14655	-3.13701	5.92003	7.76575	2.9352	-2.84258	0.373584	-1.6405	1.27845	-5.62656	-3.956	-1.37741	-4.83041	-2.03795	-11.6987	-0.778746	-7.05891	-1.64241	-4.27577	1.03185	0.625064	-4.21762	-1.31117	-4.22769	2.24954	-5.34401	-3.57363	-4.66587	-1.71314	-5.08391	-3.32365	-0.713763	-4.49699	2.04252	-2.5251	-2.79195	4.72542
898	8.62875	-0.816795	7.75602	9.49573	2.1279	-3.34538	0.534193	-1.14903	1.61108	-5.33893	-1.61228	-2.0073	-5.66432	-1.99721	-10.0639	0.146816	-6.2857	-1.73706	-3.97118	1.35467	-0.0201868	-2.80991	-1.58518	-3.29634	0.313697	-6.65711	-3.06033	-5.54019	-0.634136	-4.1531	-2.99357	-0.308092	-3.53384	1.85891	-0.496524	-2.54819	4.7829
897	7.5226	-2.00005	7.20465	9.80425	1.95966	-3.61608	-0.781329	-0.937692	-0.899619	-5.96885	-2.29971	-1.87204	-6.62345	-2.15422	-11.8594	-1.68364	-6.32123	-3.73604	-1.97505	-0.746506	-0.247401	-4.89819	-1.38605	-3.58506	-2.7357	-7.24324	-2.37281	-5.80465	-0.321446	-5.84635	-4.65377	-1.51182	-4.7708	1.40692	-1.00266	-3.12248	2.31933
896	6.11565	-2.45764	7.17099	7.06238	0.14988	-3.7727	-4.63127	-2.65559	-4.45273	-6.75993	-4.54805	-2.90538	-8.30557	-3.85395	-10.231	-3.59424	-9.06536	-5.61441	-5.11706	-2.8002	-3.07015	-5.34037	-3.44137	-4.14448	-4.12524	-8.36728	-3.14459	-6.48015	-3.31992	-7.34165	-6.91434	-3.86484	-3.25689	-2.25684	-1.06573	-4.93433	1.09509
895	4.46798	-2.32942	5.6738	3.77239	-1.9035	-4.91275	-5.13907	-1.51755	-5.64889	-6.96223	-4.61437	-3.22221	-5.91757	-5.39229	-10.0947	-4.01201	-7.94188	-6.43203	-6.46958	-2.78411	-5.56672	-7.01913	-4.11626	-4.91021	-6.83998	-7.815	-3.68436	-6.47997	-4.71041	-7.29244	-7.45372	-5.72885	-2.19415	-2.14769	-2.31991	-5.07845	-3.34302
894	1.71692	-3.75931	0.777109	1.0338	-3.57256	-9.67056	-7.05481	-2.79359	-7.44941	-6.73446	-5.91546	-3.53314	-7.87062	-7.85854	-9.41399	-5.7202	-8.62184	-9.01273	-9.13196	-6.21592	-7.12955	-8.15011	-5.49882	-8.00743	-9.23524	-9.30797	-6.86713	-6.94176	-8.31981	-7.26866	-9.83331	-6.90389	-4.83072	-4.88473	-4.6016	-5.94909	-5.08209
893	0.367756	-4.49389	-2.04397	-2.20726	-4.59128	-7.97015	-4.55109	-3.99128	-7.73522	-7.58376	-5.1259	-5.91872	-7.08145	-9.92686	-8.34283	-6.8899	-8.15478	-7.92922	-9.76371	-6.02585	-6.9393	-8.51705	-7.20541	-8.1936	-8.19548	-7.19765	-5.78059	-5.77926	-8.33286	-7.36657	-9.79777	-6.63725	-5.44144	-4.38667	-4.34611	-6.30434	-4.21856
892	-0.488928	-4.36139	-1.15943	-3.25024	-6.8142	-5.27934	-7.65969	-3.53785	-9.06003	-6.84023	-6.13101	-7.37236	-8.76427	-10.4247	-7.67781	-6.28017	-8.78101	-7.80169	-8.12009	-6.37135	-7.15863	-8.56018	-6.58162	-8.27066	-8.74498	-7.23096	-5.63293	-5.12039	-7.28934	-7.05572	-9.46601	-7.15655	-6.03377	-5.16744	-5.62571	-6.66565	-6.34929
