TITLE	10% S-JS for 6 hrs
DATA TYPE	CD SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	2025/11/20
TIME	17:51:08
SPECTROMETER/DATA SYSTEM	JASCO Corp., J-1500, Rev. 1.00
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	CD [mdeg]
Y2UNITS	LD [dOD]
Y3UNITS	HT [V]
Y4UNITS	ABSORBANCE
FIRSTX	  900.0000
LASTX	  300.0000
NPOINTS	     601
FIRSTY	     6.20964
MAXY	    14.40103
MINY	   -18.37549
XYDATA
Channel 1
	0.5	10.6167	20.6	30.6	40.6	50.6	60.6	70.6	80.6	90.6167	100.617	110.617	120.617	130.617	140.633	150.633	160.633	170.633	180.633	190.633	200.65	210.65	220.65	230.65	240.65	250.65	260.667	270.667	280.667	290.667	300.667	310.683	320.683	330.683	340.683	350.683	360.683	370.7
900	6.20964	-1.38607	-1.14334	-1.13916	4.12784	-3.20376	-1.40879	-1.34648	-7.7091	-1.99555	-5.09209	-3.21369	-7.32982	-0.998764	-3.82369	-11.2708	-8.84427	-17.4275	-12.9039	-17.5098	-10.2009	-8.42593	-8.34105	-9.46095	-5.27555	-8.47769	-4.55941	-10.6768	-5.57938	-5.22265	-6.73282	-12.5756	-9.04199	-10.0491	-9.18055	-5.57048	-7.26224	-5.63301
899	7.05062	-3.60229	-2.89611	-1.49474	1.40799	-3.14201	-4.7741	-2.58663	-7.2749	-2.31247	-5.79145	-2.45319	-8.37937	-3.88569	-2.56005	-13.8568	-6.79737	-18.777	-15.11	-18.3776	-9.90145	-9.52033	-10.1706	-11.2126	-6.82648	-9.05208	-6.51023	-11.7329	-8.63764	-6.39792	-9.91641	-14.1378	-10.4706	-12.5186	-9.98936	-7.14641	-8.15032	-7.96796
898	6.13626	-4.20997	-2.01882	-2.97106	-0.318363	-4.99364	-7.46545	-3.49236	-7.65595	-3.365	-5.92257	-4.57703	-7.94398	-4.49929	-5.78889	-13.2275	-7.78926	-19.9288	-16.5985	-19.4474	-11.1926	-8.53244	-9.94333	-12.1338	-7.45236	-9.48961	-9.24773	-11.9054	-9.51717	-8.79859	-12.4492	-13.0073	-12.4433	-12.0898	-10.2763	-11.4246	-9.93284	-7.42775
897	6.20777	-3.45034	-5.94768	-4.65161	-2.26273	-5.77146	-10.3899	-2.64333	-10.035	-2.91297	-8.55093	-5.39062	-7.40489	-5.5209	-11.2402	-14.974	-9.07707	-20.2315	-17.6085	-19.3448	-10.2083	-8.91381	-10.7985	-13.8449	-9.80266	-10.9052	-11.642	-13.3711	-13.1343	-10.7502	-15.0679	-15.4013	-13.525	-11.8365	-12.4015	-11.1487	-12.009	-9.11804
896	4.80659	-4.41409	-4.74123	-7.81628	-6.00909	-6.86434	-11.6035	-5.26114	-11.4151	-5.30118	-8.31398	-6.40878	-8.06079	-6.97654	-12.7336	-15.0758	-11.8719	-22.0318	-18.8554	-18.3112	-11.4023	-11.4941	-11.8322	-18.3795	-12.3151	-13.6984	-13.6529	-14.0828	-14.1157	-12.0463	-16.3231	-15.3634	-14.6784	-13.1596	-14.9758	-14.6731	-13.807	-13.8665
895	6.42917	-3.89912	-5.78712	-9.10263	-8.33584	-5.46739	-11.2753	-4.31989	-10.4979	-6.35315	-8.62804	-6.62229	-5.80938	-8.51133	-16.6369	-14.9495	-14.5464	-22.3518	-19.7548	-17.1707	-11.1133	-12.8582	-10.9627	-17.4548	-12.1132	-15.1396	-12.3206	-13.5213	-14.9838	-12.5627	-16.9778	-16.1625	-14.0788	-14.0843	-12.611	-15.9026	-14.1607	-13.9693
894	3.34271	-4.43083	-5.82708	-10.0943	-8.36087	-5.61257	-12.4501	-5.13979	-8.52608	-7.65408	-12.5342	-8.94708	-8.04604	-10.4424	-16.0146	-17.7594	-15.427	-21.4643	-19.6235	-17.4701	-14.0921	-14.6822	-13.367	-18.2567	-13.6493	-15.8466	-13.7958	-13.0546	-16.0223	-13.9751	-18.135	-16.5848	-13.6535	-15.0106	-14.2669	-15.8168	-15.2336	-13.6418
893	2.99588	-4.704	-7.50005	-8.08325	-6.54548	-4.81198	-12.2368	-6.2791	-7.47996	-11.2502	-11.7957	-9.54124	-7.89648	-9.84664	-16.9151	-18.4487	-17.6368	-22.6083	-18.0912	-18.1873	-14.0781	-13.3625	-15.0639	-16.7547	-14.4803	-17.7936	-15.7833	-13.5024	-16.2045	-14.0458	-15.9644	-15.338	-13.5493	-12.6736	-13.1996	-17.5278	-15.5795	-11.7819
892	1.2835	-7.0268	-8.66109	-9.68982	-7.25892	-5.09883	-11.4878	-7.22539	-8.72306	-12.3209	-11.0884	-11.6376	-9.14572	-13.1407	-13.8328	-20.1522	-18.9885	-21.5757	-17.8481	-16.1608	-15.2484	-14.0268	-14.3025	-16.031	-14.9711	-16.8272	-15.003	-12.2756	-14.6428	-14.5366	-14.5054	-14.7915	-13.6634	-13.8177	-13.3259	-15.6614	-16.3945	-12.3302
891	-0.996553	-7.7742	-9.35937	-9.28502	-6.25853	-4.63173	-8.90388	-5.82785	-8.70358	-11.538	-9.57705	-11.0715	-9.77319	-11.839	-11.8255	-20.299	-19.9416	-18.7971	-16.5927	-15.2631	-16.0295	-12.3953	-16.4024	-12.7173	-14.3166	-15.4278	-14.284	-11.1014	-14.1065	-14.7242	-12.8132	-12.7554	-12.5618	-12.2238	-10.5988	-14.3509	-13.9163	-11.409
890	0.756915	-6.1075	-8.02937	-7.06976	-2.79503	-3.85557	-6.11316	-4.12648	-6.1413	-10.3898	-8.79308	-10.0917	-6.41818	-8.17952	-10.516	-15.7558	-17.3168	-17.0492	-13.4507	-12.8809	-13.8595	-10.1984	-16.2444	-11.9043	-12.5127	-11.6343	-11.1068	-9.05075	-11.1808	-12.7705	-10.6327	-11.8761	-9.51075	-9.78756	-7.02268	-10.6681	-11.1963	-9.45102
889	1.131	-6.95516	-6.87229	-5.59645	-2.06193	-2.53132	-4.74417	-4.71835	-4.82939	-10.6551	-7.64336	-9.92843	-7.94132	-7.73132	-7.46252	-13.0309	-15.0102	-13.9707	-12.8843	-13.4202	-15.4179	-10.6389	-14.339	-11.8009	-10.7043	-12.405	-7.46738	-8.20283	-8.76966	-12.5522	-10.6006	-10.0528	-7.45727	-7.7433	-6.88533	-11.2015	-8.17732	-8.25898
888	3.34692	-6.72313	-6.46535	-4.18913	-1.49779	-1.58241	-1.77589	-3.53409	-3.1196	-9.12786	-5.67051	-10.2111	-3.75214	-5.40768	-5.17065	-11.1656	-12.5833	-11.6103	-10.8711	-12.804	-14.5552	-8.85135	-12.3385	-7.45457	-9.08897	-10.2067	-5.02332	-6.24925	-6.21337	-11.6911	-9.02914	-7.17783	-5.42108	-4.71086	-5.10215	-8.55005	-3.70214	-5.18086
887	1.23089	-9.84623	-9.90904	-7.54213	-4.06681	-3.42361	-3.18175	-5.82946	-6.66953	-11.1446	-6.51705	-12.2895	-5.31815	-7.78507	-6.57087	-13.5136	-15.0314	-12.9626	-12.208	-14.0988	-15.7444	-10.4487	-13.9484	-9.47119	-12.4936	-12.3253	-7.63732	-9.25381	-7.3486	-12.9578	-11.505	-9.66494	-7.67722	-5.53681	-8.01036	-10.2255	-6.27616	-7.71811
886	2.43906	-7.23511	-8.56128	-5.20201	-5.76395	-3.71166	-1.78857	-5.04242	-4.30324	-8.93686	-4.33994	-11.4212	-2.75076	-5.77071	-3.42889	-10.8457	-15.4346	-9.1966	-11.068	-12.5793	-12.7059	-9.54136	-11.9897	-7.25298	-10.3933	-8.86815	-6.22431	-7.8105	-7.10116	-9.95666	-11.7765	-8.01926	-6.89703	-3.19	-5.09871	-8.07544	-4.16428	-6.59858
885	3.66876	-5.58673	-7.45829	-2.53785	-6.7633	-4.53634	-0.263359	-5.86626	-3.75535	-8.40098	-3.13158	-8.38604	-3.71258	-6.32003	-3.87195	-10.4567	-14.6917	-5.2847	-11.5896	-13.3584	-11.5683	-9.83523	-10.8092	-6.55573	-10.5045	-8.46965	-6.97324	-7.84832	-6.09259	-8.053	-10.1945	-6.70579	-6.0616	-2.859	-4.34513	-6.90025	-5.6194	-6.68535
884	6.18535	-4.91446	-4.84382	-3.23334	-7.74985	-4.3532	-0.370441	-5.95188	-3.8501	-8.20386	-3.89194	-5.8264	-2.53174	-8.43533	-4.24376	-9.89002	-16.5969	-8.18714	-11.1151	-13.0177	-11.6608	-9.65377	-10.0721	-8.76629	-10.8715	-6.87813	-6.87972	-8.79357	-5.85911	-7.10591	-10.3414	-8.28979	-5.7412	-4.19413	-6.52966	-5.08777	-6.49713	-8.58772
883	5.76745	-5.34526	-5.73443	-3.2167	-9.37086	-5.36168	-1.18605	-7.77331	-3.66593	-7.10639	-4.7141	-5.80669	-5.0612	-10.1576	-7.74166	-10.0047	-17.7885	-9.09415	-12.7241	-15.0813	-11.5291	-12.0013	-9.26324	-10.1086	-11.2415	-9.10851	-8.04926	-11.5989	-6.82081	-6.7949	-11.0108	-7.8093	-5.6009	-5.63241	-9.46524	-5.75484	-6.77558	-10.1382
882	5.5582	-2.99001	-4.30552	-1.44972	-7.11218	-4.90461	-0.924225	-7.10596	-3.66195	-4.593	-2.31606	-5.4808	-5.59375	-10.0077	-8.03728	-11.9316	-16.1603	-8.69136	-13.5972	-13.4275	-10.7649	-10.6492	-7.43047	-8.61997	-10.0058	-8.75148	-8.74944	-12.3602	-4.65052	-6.8208	-8.34218	-7.30416	-6.87106	-4.53596	-9.30035	-5.75804	-5.64317	-7.88015
881	4.83192	-1.17072	-4.33572	0.153515	-6.88524	-2.21215	-0.534858	-6.60622	-3.69736	-5.04206	-4.17144	-7.21924	-5.11445	-11.562	-9.07548	-13.0524	-16.6903	-10.8475	-14.4254	-12.4155	-10.8624	-9.66879	-7.15354	-7.37773	-10.6369	-7.96936	-8.34964	-14.0788	-4.63565	-4.94808	-7.0772	-7.4522	-6.91145	-4.59856	-8.4604	-4.44772	-6.22874	-7.9486
880	2.658	0.368573	-1.57826	0.907276	-7.64928	-3.6756	-0.121026	-5.41512	-3.87984	-3.58196	-5.59431	-5.48468	-6.21272	-8.46953	-10.0646	-14.2018	-18.1377	-10.9954	-15.4166	-12.0637	-8.49464	-9.44714	-8.47661	-8.77221	-12.4318	-8.78501	-9.51231	-14.8499	-4.92125	-3.69354	-7.67966	-7.3058	-7.54662	-5.71576	-8.61422	-5.59362	-7.30147	-9.75291
879	3.23242	1.62529	-0.990361	1.40003	-7.25712	-3.84775	0.339303	-6.33217	-3.65148	-4.12835	-5.79293	-6.22458	-7.37452	-7.51448	-10.6508	-13.612	-16.402	-11.2826	-16.1228	-11.5093	-9.15921	-9.53314	-9.7404	-8.93944	-11.3093	-7.99196	-9.80581	-14.3849	-5.8992	-3.8652	-7.3024	-6.11907	-7.14273	-7.44771	-9.66183	-6.14717	-7.25271	-8.56034
878	1.74163	0.621896	0.613808	0.709066	-5.51251	-3.89598	1.00924	-6.7318	-5.47546	-2.13939	-7.11919	-6.98697	-9.80081	-8.86515	-11.0487	-14.9368	-13.9233	-13.5518	-15.1653	-11.3673	-11.1142	-10.4037	-10.5871	-9.43687	-10.9814	-8.76991	-10.674	-14.5164	-4.33392	-5.24516	-6.7183	-7.15983	-6.03797	-9.31007	-12.7105	-8.08572	-7.76105	-10.0966
