TITLE	100% R-JS 72 hrs
DATA TYPE	CD SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	2025/11/17
TIME	11:45:33
SPECTROMETER/DATA SYSTEM	JASCO Corp., J-1500, Rev. 1.00
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	CD [mdeg]
Y2UNITS	LD [dOD]
Y3UNITS	HT [V]
Y4UNITS	ABSORBANCE
FIRSTX	  700.0000
LASTX	  300.0000
NPOINTS	     401
FIRSTY	     1.30980
MAXY	    29.84932
MINY	   -27.41811
XYDATA
Channel 1
	0	1.01667
700	1.3098	1.71601
699	1.1471	1.61457
698	0.970521	1.45911
697	0.741173	1.23879
696	0.50408	1.07928
695	0.379988	1.00987
694	0.238258	0.87145
693	0.151984	0.747128
692	0.168358	0.676065
691	0.158059	0.625978
690	0.224576	0.54307
689	0.315277	0.526103
688	0.459323	0.617985
687	0.695005	0.682039
686	0.89732	0.713971
685	1.17494	0.762758
684	1.40014	0.808394
683	1.55412	0.880734
682	1.59301	0.945706
681	1.63303	1.13246
680	1.63842	1.2935
679	1.66371	1.35107
678	1.73188	1.40461
677	1.76169	1.46344
676	1.77405	1.43887
675	1.91377	1.49342
674	2.00333	1.59816
673	2.1199	1.80045
672	2.18222	1.83565
671	2.25073	1.88889
670	2.26127	1.9534
669	2.12444	2.06773
668	2.03264	2.17527
667	1.95388	2.22235
666	1.81256	2.14268
665	1.6253	1.94809
664	1.53366	1.7424
663	1.58548	1.67826
662	1.66416	1.67306
661	1.86463	1.74439
660	2.11175	2.01529
659	2.33537	2.21572
658	2.55225	2.34284
657	2.73074	2.46869
656	2.91183	2.72007
655	2.9542	2.82625
654	2.95949	2.93949
653	2.95289	2.94282
652	2.89111	2.91363
651	2.88231	2.84575
650	2.93598	2.81714
649	2.97818	2.79893
648	2.92204	2.74263
647	2.88529	2.64249
646	2.94025	2.67689
645	2.95858	2.567
644	2.98569	2.46599
643	2.99395	2.41865
642	3.00496	2.35449
641	2.98656	2.28331
640	2.96583	2.26583
639	2.95004	2.24054
638	2.95751	2.26612
637	2.92285	2.31051
636	2.9733	2.54324
635	3.03533	2.72905
634	3.03879	2.92768
633	3.10831	3.19025
632	3.16429	3.42054
631	3.1603	3.53166
630	3.21922	3.56919
629	3.14913	3.47402
628	3.15993	3.38653
627	3.10056	3.18319
626	3.02245	3.03447
625	2.99692	2.94289
624	3.07797	2.88602
623	3.31783	2.97403
622	3.55776	3.10661
621	3.7784	3.25037
620	3.96859	3.49116
619	3.9803	3.66203
618	3.88484	3.82691
617	3.8053	3.95915
616	3.77001	4.0317
615	3.81293	4.09346
614	3.71658	3.94425
613	3.75358	3.82234
612	3.73484	3.75846
611	3.78854	3.6682
610	4.00087	3.61205
609	4.28196	3.58366
608	4.51139	3.64297
607	4.71311	3.7255
