TITLE	100% R-JS 6hrs to 26 hrs
DATA TYPE	CD SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	2025/11/15
TIME	13:56:45
SPECTROMETER/DATA SYSTEM	JASCO Corp., J-1500, Rev. 1.00
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	CD [mdeg]
Y2UNITS	LD [dOD]
Y3UNITS	HT [V]
Y4UNITS	ABSORBANCE
FIRSTX	  700.0000
LASTX	  300.0000
NPOINTS	     401
FIRSTY	     2.21820
MAXY	    23.24519
MINY	    -7.87398
XYDATA
Channel 1
	0.5	30.5	60.5	90.5167	120.533	150.533	180.55	210.55	240.567	270.567	300.583	330.583	360.6	390.6	420.617	450.617	480.633	510.633	540.65	570.65	600.667	630.683	660.683	690.7	720.7	750.717	780.717	810.733	840.733	870.75	900.75	930.767	960.767	990.783	1020.78	1050.8	1080.82	1110.82	1140.83	1170.83	1200.85
700	2.2182	2.27346	2.25619	2.52365	2.28321	1.74396	2.07773	2.38092	1.88944	1.22956	1.21535	2.06856	2.20591	1.90521	1.95878	1.58832	1.65134	1.5007	1.66813	2.24777	1.83273	2.21696	1.57661	2.24967	1.78696	2.18577	1.9408	1.79257	2.79863	2.06114	1.88667	1.7958	1.48644	1.94282	1.91422	2.41094	2.12983	1.9694	1.31921	1.77526	1.67297
699	1.91121	2.02013	2.45713	2.24527	2.11748	1.4994	1.77913	2.09123	1.82141	0.96557	1.09325	2.28077	2.10502	1.7666	2.18986	1.40662	1.2497	1.49966	1.40153	1.99388	1.65196	2.03448	1.63977	2.18558	1.4805	1.93275	1.95666	1.71266	2.02454	1.85765	1.66419	1.37281	1.50497	1.86683	1.52157	1.88181	1.46367	1.62786	1.3638	1.43325	1.49386
698	1.46652	1.94986	2.19953	1.75983	1.95315	1.66764	1.61656	1.80085	1.58915	1.19318	0.731068	2.14085	2.15983	1.43518	1.65843	1.06152	1.11078	0.898817	1.44039	1.78341	1.26265	2.02454	1.47193	1.61068	1.42534	1.71669	1.89377	1.42178	1.73377	1.59917	1.72817	0.955291	1.66774	1.65964	1.60441	1.7096	1.34458	1.35456	1.07745	1.31191	0.9621
697	1.35446	2.06907	1.6677	1.34206	1.92309	1.90933	1.71701	1.18116	1.80382	1.6389	0.876888	2.34078	2.3445	1.36913	1.90983	1.75602	1.47796	1.53827	1.65114	2.1127	1.51564	2.14203	1.58013	1.20777	1.47731	1.61705	2.15517	1.51712	1.98187	1.84224	2.10058	1.28957	1.63192	1.79326	1.98187	1.63234	1.33039	1.33613	0.76808	1.75999	0.914549
696	0.56281	1.00223	1.1461	0.616984	1.09569	1.14039	0.467037	0.578869	1.11568	0.861856	0.180446	1.44098	1.63329	0.440758	1.15795	1.13152	1.0802	1.0423	1.25557	2.10689	0.971277	1.63625	1.02285	0.565719	0.904969	0.982382	1.37193	1.06559	1.58625	1.13933	1.59215	1.22317	1.34685	0.676753	1.61919	1.20154	0.756492	1.02252	0.339872	0.988614	0.750816
695	-0.0389958	0.622835	0.871373	0.408937	0.746308	0.608372	-0.10237	0.566103	0.471538	0.380028	-0.368702	1.02961	1.5747	0.200004	0.815324	1.18929	0.205249	0.968296	1.06402	1.51376	0.866117	1.55481	0.667446	0.173247	0.684392	1.08054	1.25897	0.724334	1.18255	0.629533	1.28921	0.755112	0.897631	0.586443	0.929672	0.556596	0.500838	1.04392	-0.00222748	0.980086	0.493408
694	-0.326384	0.642742	0.708332	0.664414	0.989076	0.296665	-0.250118	0.106947	0.28506	0.427158	-0.434978	1.41961	1.54831	0.154599	1.16182	0.879483	-0.193015	0.67524	0.905138	1.2926	0.635691	1.15592	0.565961	0.0142085	0.954039	1.25786	1.12501	0.777325	1.11997	0.626517	1.28732	0.613191	0.773879	0.193509	1.12132	0.41755	0.315893	0.754261	0.190446	0.839969	0.268564
693	-0.527615	0.990896	0.638064	0.574066	0.881845	0.375768	0.100722	-0.150906	0.0746541	0.81844	-0.163064	1.35567	1.80491	0.577869	1.19243	0.986495	0.113516	0.802042	0.953347	1.4799	0.482848	1.34046	1.1112	0.337701	0.916262	1.40798	1.37728	0.755033	0.991279	0.967316	1.41104	0.714362	0.909825	0.336282	1.35307	0.590225	0.477488	0.806865	0.308393	1.12216	0.681367
692	-0.517414	0.359841	0.0685967	0.152278	1.00405	0.238746	-0.156482	-0.259719	0.215314	0.708475	-0.344156	1.11576	1.43094	0.629793	1.05712	0.808223	0.172528	0.437903	0.599606	1.00638	0.186359	1.24607	0.97148	0.186049	0.5439	1.21186	1.28062	0.648072	1.00164	0.85926	1.30113	0.545489	0.720187	0.5572	0.908348	0.511212	0.0413446	0.336319	0.0549185	1.16972	0.346032
