TITLE	100% R-JS for 6hrs
DATA TYPE	CD SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	2025/11/14
TIME	17:45:34
SPECTROMETER/DATA SYSTEM	JASCO Corp., J-1500, Rev. 1.00
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	CD [mdeg]
Y2UNITS	LD [dOD]
Y3UNITS	HT [V]
Y4UNITS	ABSORBANCE
FIRSTX	  700.0000
LASTX	  300.0000
NPOINTS	     401
FIRSTY	    -6.43526
MAXY	     5.68291
MINY	    -9.83073
XYDATA
Channel 1
	0.5	10.5	20.5	30.5	40.5	50.5	60.5167	70.5167	80.5167	90.5167	100.517	110.517	120.533	130.533	140.533	150.533	160.533	170.55	180.55	190.55	200.55	210.55	220.55	230.567	240.567	250.567	260.567	270.567	280.567	290.583	300.583	310.583	320.583	330.583	340.6	350.6	360.6
700	-6.43526	-4.23048	-3.19571	-2.85772	-4.55623	-3.7103	-1.32809	-0.61437	-0.546778	-0.849023	-0.250397	-0.501349	-0.966812	-2.20172	-2.98774	-2.93327	-2.72916	-0.981416	-0.952791	-2.27965	-2.39023	-2.15606	-1.74733	-0.76145	-1.56911	-1.41042	-1.5276	-1.09065	-1.07274	-1.87797	-0.834591	-1.16964	-1.52746	-1.48683	-0.6523	-1.30767	-1.56262
699	-6.12233	-3.92049	-2.09232	-2.32548	-4.35435	-3.62353	-1.17073	-0.0453475	-0.498973	-0.862585	-0.601445	-0.742953	-1.06631	-1.94464	-2.97463	-2.88067	-2.34979	-1.18231	-1.18615	-2.19438	-2.44005	-2.19674	-1.29894	-0.711363	-1.17001	-1.69543	-1.68458	-0.990162	-1.33847	-1.59211	-0.672109	-1.26738	-1.27059	-1.18225	-0.570312	-1.58717	-1.4154
698	-6.1351	-3.95323	-2.03195	-2.58949	-4.39238	-3.88975	-0.842989	0.0439206	-1.20213	-1.10569	-1.06675	-1.00784	-1.19922	-2.20494	-3.14669	-2.92324	-2.35149	-2.06482	-1.3935	-2.27107	-2.27383	-2.20355	-1.36245	-0.996088	-1.23954	-1.87236	-2.19939	-1.49396	-1.66723	-1.67835	-0.9784	-1.71173	-1.44008	-1.55475	-0.665814	-1.53562	-1.63204
697	-5.60864	-4.24582	-1.39333	-2.8777	-4.29173	-4.22215	-1.57385	-0.538615	-1.60441	-1.51426	-1.74452	-1.23917	-1.51357	-2.59205	-3.47158	-3.2723	-2.61087	-2.34041	-1.66009	-2.35024	-2.3403	-2.09432	-1.14364	-1.29276	-1.3239	-1.70356	-2.54393	-1.9288	-1.84998	-1.98847	-0.977202	-1.83708	-1.85804	-1.91836	-1.00537	-1.89699	-1.60843
696	-5.81162	-4.18223	-1.75592	-3.29011	-4.5523	-4.98113	-2.20705	-1.13982	-1.69033	-2.24211	-2.2398	-1.83844	-1.98459	-3.0942	-3.88123	-4.01677	-3.22864	-3.18429	-2.42986	-2.71694	-2.7263	-2.73865	-1.58959	-1.63955	-1.72673	-2.24119	-3.03541	-2.61309	-2.43922	-2.6312	-1.98709	-2.52405	-2.20034	-1.99946	-1.81667	-2.07288	-2.2641
695	-5.41535	-3.95866	-1.76166	-2.99469	-4.34141	-5.03216	-2.17995	-1.37136	-1.61524	-2.17866	-1.93468	-1.38833	-1.65194	-2.71409	-3.64665	-3.9181	-2.88688	-3.23565	-2.33526	-2.5639	-2.67895	-2.66461	-1.21047	-1.70699	-1.65344	-2.11408	-2.6896	-2.45811	-2.49881	-2.22841	-1.77263	-2.26517	-1.69675	-1.87971	-1.29753	-1.79161	-2.26055
694	-5.34902	-3.91506	-1.39489	-3.61614	-4.37988	-4.936	-2.31456	-1.16895	-1.28078	-1.88851	-1.40313	-1.06272	-1.21263	-2.18326	-3.57601	-3.50922	-2.68716	-2.94953	-1.98214	-2.29013	-2.12363	-2.2169	-1.28741	-1.30682	-1.36972	-1.59545	-2.51539	-2.17043	-2.39636	-1.82169	-1.69348	-2.09711	-1.79859	-1.65939	-1.3015	-1.83217	-2.00646
693	-5.44008	-3.52995	-1.35035	-3.55595	-3.86286	-4.13721	-1.91168	-1.31139	-0.8931	-1.70461	-1.32069	-0.706044	-1.17549	-1.89796	-3.06378	-2.75609	-2.50248	-2.6979	-1.70817	-2.23889	-1.80134	-1.65853	-1.2423	-1.30526	-0.969278	-1.70886	-2.18145	-2.25395	-2.18189	-1.88041	-1.60799	-1.96753	-1.63482	-1.6369	-1.32068	-1.70148	-1.53729
692	-5.46803	-3.93123	-2.10011	-4.1989	-4.0177	-4.88143	-2.17327	-2.25015	-1.12216	-1.97482	-1.75362	-1.20891	-1.52266	-2.53587	-3.72055	-3.24316	-2.79539	-2.87955	-2.15793	-2.64419	-2.3718	-1.98832	-1.45365	-1.79436	-1.60551	-2.06555	-2.54454	-2.86718	-2.2626	-2.35875	-1.70182	-2.56658	-1.86856	-1.89736	-1.64844	-1.73398	-1.80923
691	-4.75064	-3.80752	-1.96422	-4.74686	-4.29562	-4.46454	-2.00674	-2.65213	-0.847999	-1.79727	-1.33694	-1.23327	-1.58162	-2.54734	-3.3233	-3.01343	-2.31266	-2.75204	-1.79719	-2.33981	-2.1472	-1.98049	-1.65045	-1.49773	-1.89581	-2.06874	-2.73873	-2.8361	-2.34589	-2.23107	-1.72043	-2.94571	-1.98251	-1.93359	-1.703	-1.80705	-1.61114
690	-4.91539	-3.92332	-1.90023	-4.54319	-4.68106	-4.19067	-2.66595	-3.1997	-0.580088	-2.11489	-1.08818	-1.37437	-1.66855	-2.79463	-3.12518	-3.07787	-2.39467	-2.45928	-1.60504	-2.68133	-2.15942	-2.20399	-1.74135	-1.82229	-2.17679	-2.12501	-2.77636	-3.16876	-2.32026	-2.27003	-1.67752	-2.60997	-2.14275	-1.99045	-1.61014	-1.59241	-1.54284
689	-4.32028	-3.69838	-1.88189	-3.79897	-4.7195	-3.68595	-2.3571	-3.03012	-0.594635	-1.7076	-0.450557	-1.21747	-1.22924	-2.53514	-2.68352	-2.50433	-2.12777	-1.72736	-1.23799	-2.38529	-1.59655	-1.45761	-1.62544	-1.48897	-1.89784	-1.76253	-2.34075	-2.57034	-1.90382	-1.75973	-1.39855	-1.95756	-1.53448	-1.60866	-1.3763	-1.08752	-1.03696
688	-4.11139	-3.68724	-1.29333	-3.40101	-4.79258	-3.39226	-1.93974	-2.43931	-0.210104	-1.27461	0.417305	-0.733946	-1.18074	-2.25925	-2.41059	-1.94933	-1.64408	-1.11672	-0.874177	-1.74876	-1.14874	-0.849101	-1.14375	-1.04316	-1.54523	-1.24254	-2.0901	-2.16998	-1.63545	-1.02171	-0.910706	-1.21632	-1.67589	-1.51657	-0.881485	-0.762783	-0.380021
687	-3.97026	-4.19253	-1.23647	-3.15655	-5.14895	-3.2018	-2.51435	-2.761	-0.363113	-1.48535	0.405381	-1.173	-1.67765	-2.54714	-2.51913	-2.52553	-2.13419	-1.05295	-1.23779	-1.96855	-1.2661	-1.07727	-1.64175	-1.06511	-1.45037	-1.39007	-2.41167	-2.45539	-1.79779	-1.36611	-1.11476	-1.49122	-2.21449	-1.36942	-1.36118	-1.15285	-0.53281
686	-3.72537	-4.10475	-0.967078	-2.88389	-4.90679	-3.17702	-2.25401	-2.69353	-0.0403375	-1.13649	0.0736323	-1.45455	-1.46393	-2.52213	-2.20142	-2.22163	-1.91632	-0.961651	-1.32329	-1.87136	-1.39279	-1.31144	-1.382	-1.30963	-1.09393	-1.69728	-2.25984	-2.34532	-1.51378	-1.16675	-1.10699	-1.16006	-1.8435	-1.17862	-1.30482	-1.34431	-0.0309826
685	-3.64355	-3.49818	-1.0587	-2.41089	-4.92116	-3.81915	-2.63978	-2.35408	-0.116317	-1.13052	-0.111354	-1.38746	-1.38119	-2.56783	-2.34739	-2.65845	-2.07897	-0.94089	-1.36426	-1.74693	-1.30336	-1.52677	-1.38442	-1.15258	-1.17302	-1.66721	-2.37155	-1.91343	-1.41547	-0.816882	-1.41778	-1.08388	-1.76396	-0.92376	-1.21081	-1.07888	-0.369082
