TITLE	40% R-JS18 hrs 20 min
DATA TYPE	CD SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	2025/11/11
TIME	12:24:39
SPECTROMETER/DATA SYSTEM	JASCO Corp., J-1500, Rev. 1.00
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	CD [mdeg]
Y2UNITS	LD [dOD]
Y3UNITS	HT [V]
Y4UNITS	ABSORBANCE
FIRSTX	  700.0000
LASTX	  300.0000
NPOINTS	     401
FIRSTY	    -5.16492
MAXY	    14.27378
MINY	    -6.08601
XYDATA
Channel 1
	0	20	40	60.0167	80.0167	100.033	120.033	140.033	160.05	180.05	200.05	220.067	240.067	260.067	280.083	300.083	320.083	340.1	360.1	380.1	400.117	420.117	440.133	460.133	480.133	500.15	520.15	540.15	560.167	580.167	600.167	620.183	640.183	660.183	680.2	700.2	720.217	740.217	760.217	780.233	800.233	820.233	840.25	860.25	880.25	900.267	920.267	940.267	960.283	980.283	1000.28	1020.3	1040.3	1060.32	1080.32
700	-5.16492	-3.8142	-5.01883	-3.00133	-4.81763	-3.20999	-4.22159	-3.05854	-4.08875	-3.17276	-3.09074	-4.03351	-2.73126	-3.65866	-3.58519	-3.26156	-3.71367	-2.62476	-2.66683	-2.87114	-3.27949	-3.60367	-3.38713	-3.02577	-3.1939	-2.3946	-2.37041	-3.02639	-2.9312	-3.48085	-3.88455	-2.95946	-2.98225	-3.25543	-3.54384	-2.55112	-2.5313	-3.15897	-2.9688	-3.37777	-3.2169	-3.95593	-3.03693	-2.54957	-3.67208	-3.93631	-4.41073	-4.61646	-3.44165	-4.70251	-4.94855	-5.67648	-4.94366	-4.67531	-5.61986
699	-4.98527	-3.91206	-5.37833	-3.31913	-4.42308	-3.4396	-4.11196	-2.8507	-3.86205	-2.92475	-3.01849	-3.78774	-2.64672	-3.53449	-3.48992	-3.28376	-3.38268	-2.3268	-2.62272	-3.00538	-3.15677	-3.29114	-3.27981	-3.46604	-2.63431	-2.46286	-2.69653	-3.21866	-2.76123	-3.46478	-4.12653	-3.44857	-3.17519	-3.4342	-3.15234	-2.98505	-2.4044	-2.58142	-2.9905	-3.41391	-2.9022	-3.86811	-2.98738	-2.41517	-3.28439	-3.92122	-4.28866	-4.76037	-3.62129	-4.62477	-5.10926	-5.59143	-4.82173	-4.66018	-5.19593
698	-4.72585	-3.6296	-5.02705	-3.17838	-4.21736	-3.30133	-3.93066	-2.55295	-3.32894	-3.10388	-2.9216	-3.74199	-2.79161	-3.61103	-3.15115	-3.02564	-3.48989	-2.55528	-2.7247	-3.17143	-2.86706	-2.86052	-3.13834	-3.19035	-2.53214	-2.29035	-2.4878	-2.80752	-3.27912	-3.409	-3.67805	-3.25907	-3.16597	-3.30721	-2.94828	-3.08695	-2.29747	-2.77885	-2.6667	-3.30643	-2.73563	-3.60156	-2.52008	-2.47416	-2.8761	-3.84711	-3.67154	-4.4714	-3.48734	-4.07801	-5.12836	-5.56615	-4.67076	-4.55545	-5.48991
697	-5.3314	-3.62403	-5.18353	-3.3712	-4.34404	-3.84763	-4.04534	-2.63626	-2.9127	-2.95898	-3.02864	-3.58212	-2.77444	-3.56857	-3.35004	-3.38502	-3.08683	-2.38127	-2.77736	-3.35072	-3.05107	-3.35076	-3.49499	-3.42821	-2.97627	-2.82661	-2.87063	-3.05044	-3.31069	-3.26734	-3.59164	-3.28206	-3.51547	-3.54772	-3.12469	-3.39835	-2.46563	-3.11733	-2.84569	-3.29831	-3.23976	-3.77417	-2.48125	-2.6524	-2.52878	-3.85275	-3.94593	-4.61567	-4.1165	-4.25229	-4.98276	-5.55945	-4.52904	-4.98335	-5.59156
696	-4.63748	-3.04017	-4.51936	-3.27503	-3.92364	-3.8093	-3.51057	-2.6123	-2.63087	-2.81199	-2.60267	-3.17261	-2.77558	-3.21819	-3.51324	-3.23202	-2.75908	-2.28304	-2.45405	-3.18049	-3.09227	-3.18036	-3.17935	-3.14599	-3.11501	-2.71182	-2.69251	-2.736	-3.07375	-2.84849	-3.14254	-2.82875	-2.99779	-2.95504	-2.6115	-3.1783	-2.17112	-2.83566	-2.71579	-2.54281	-2.83073	-3.31708	-2.35545	-2.39171	-2.03214	-3.51164	-3.70574	-4.41559	-3.85154	-3.88772	-4.81853	-5.04639	-4.08973	-4.80904	-4.9876
695	-4.12412	-3.21376	-4.25661	-3.29901	-3.74726	-3.74557	-3.41736	-2.934	-2.61406	-3.05952	-2.96947	-3.26221	-2.68102	-3.17218	-3.4018	-3.30755	-2.86249	-2.76862	-2.60285	-3.46541	-3.22992	-3.31332	-3.73465	-3.21586	-3.25354	-3.22888	-2.80539	-3.1036	-3.22383	-2.98375	-3.10782	-2.78642	-3.17289	-3.20292	-2.67947	-3.22793	-2.11018	-2.51598	-2.75417	-2.27184	-3.15089	-3.82193	-2.36635	-2.41018	-2.08213	-3.87406	-3.65393	-4.49843	-3.88794	-4.34132	-5.04699	-4.88672	-4.12781	-4.7944	-4.76818
694	-4.31648	-3.15984	-4.06487	-3.1823	-3.74512	-3.84162	-3.36662	-2.76231	-2.47341	-2.79059	-3.06581	-3.04336	-2.87359	-3.07762	-3.61838	-3.26358	-2.7458	-2.5369	-2.79934	-3.39069	-3.4767	-3.18163	-3.46598	-2.65572	-3.22782	-3.13345	-2.73577	-3.28656	-3.32701	-3.02305	-3.29865	-2.8274	-3.0352	-3.37752	-2.76294	-2.98688	-2.26274	-2.42413	-2.48022	-2.16444	-3.22253	-3.68437	-2.60987	-2.47619	-2.22549	-4.09421	-3.87263	-4.60959	-3.9521	-4.39438	-4.9025	-5.1205	-4.52878	-5.49445	-5.07296
693	-4.35234	-3.29473	-3.73438	-3.067	-3.60109	-3.82492	-3.26067	-3.19189	-2.98173	-2.90133	-2.99576	-3.49447	-3.38872	-3.17794	-3.84399	-3.56218	-2.78506	-2.9395	-2.72669	-3.37577	-3.69028	-3.18459	-3.58269	-3.01197	-3.33805	-3.23622	-3.12838	-3.41375	-3.41336	-3.14288	-3.49207	-2.88784	-3.04232	-3.74415	-3.11816	-3.28496	-2.70005	-2.47434	-2.40908	-3.12302	-3.77461	-3.57149	-2.74388	-2.81697	-2.21989	-3.99218	-3.85744	-4.5247	-4.56413	-4.74666	-5.03179	-5.33486	-4.63063	-5.63364	-5.19623
692	-4.40001	-3.92383	-4.41168	-3.2978	-3.89378	-3.99536	-3.0926	-3.44854	-3.3281	-3.7127	-3.18626	-3.83909	-3.70363	-3.23899	-3.75724	-3.53619	-3.09888	-3.61838	-2.80844	-3.779	-3.85924	-3.84218	-3.75493	-3.18329	-3.50548	-3.48286	-3.38796	-3.7276	-3.84172	-3.58857	-3.67968	-3.24363	-3.12968	-3.82799	-3.39581	-3.53235	-2.83795	-3.29451	-2.9973	-3.2111	-3.97577	-3.57041	-3.22106	-3.26242	-2.45387	-4.41371	-3.96	-4.49533	-5.11732	-4.65112	-5.50811	-5.72583	-4.85232	-6.13499	-5.34083
