JS187_JS16_5E-5_H2O_0_100_ASPREP,,
Wavelength (nm),Abs,
800,0.1466861218,
799,0.1469100714,
798,0.1471689641,
797,0.1463201791,
796,0.1481312215,
795,0.1484873593,
794,0.1484766454,
793,0.1482724994,
792,0.1487513632,
791,0.1498151124,
790,0.1493175179,
789,0.1502796412,
788,0.1505040973,
787,0.1501528472,
786,0.1506477296,
785,0.1508890837,
784,0.151875481,
783,0.1523396969,
782,0.1524159014,
781,0.1520484835,
780,0.1523299813,
779,0.153794691,
778,0.1540334672,
777,0.154444173,
776,0.1545062363,
775,0.1543077677,
774,0.1548184007,
773,0.1556730866,
772,0.1557820588,
771,0.1568299383,
770,0.156559974,
769,0.1569120735,
768,0.1574280858,
767,0.1580126733,
766,0.1576448381,
765,0.1581946164,
764,0.1587048322,
763,0.1592383683,
762,0.1595693082,
761,0.1602097154,
760,0.1604210883,
759,0.160486266,
758,0.1614211798,
757,0.1617511362,
756,0.1618986428,
755,0.1623847187,
754,0.1620674878,
753,0.1632401198,
752,0.1634638011,
751,0.1641775668,
750,0.1640583128,
749,0.1643687934,
748,0.1645022035,
747,0.1650278717,
746,0.1651109308,
745,0.1656964421,
744,0.1667550206,
743,0.1672543287,
742,0.1677507013,
741,0.1677211523,
740,0.1688851416,
739,0.1691433489,
738,0.1690075248,
737,0.170403257,
736,0.1699670404,
735,0.1700642109,
734,0.1708600819,
733,0.1721363366,
732,0.1718042791,
731,0.1725152284,
730,0.1726499498,
729,0.1737458408,
728,0.1737077981,
727,0.1743096262,
726,0.1747666746,
725,0.1751104146,
724,0.1762306243,
723,0.175969258,
722,0.1765348613,
721,0.1767443419,
720,0.1778009385,
719,0.1782111526,
718,0.1782605499,
717,0.1789756268,
716,0.1795909107,
715,0.1804216504,
714,0.1801223308,
713,0.1810377389,
712,0.1816639006,
711,0.1818721145,
710,0.1823514551,
709,0.1834048033,
708,0.1834194511,
707,0.1837475747,
706,0.1844889969,
705,0.1847359687,
704,0.1854863167,
703,0.1861022711,
702,0.1864609122,
701,0.1868909597,
700,0.1877765357,
699,0.1884561479,
698,0.1887798309,
697,0.1895221025,
696,0.1899455786,
695,0.19070746,
694,0.1909219176,
693,0.1912127882,
692,0.1918114126,
691,0.1927872449,
690,0.1933350712,
689,0.19399257,
688,0.1944928616,
687,0.1953698844,
686,0.1960161328,
685,0.1963201612,
684,0.1968662739,
683,0.1975491792,
682,0.1982538849,
681,0.1988995671,
680,0.1998219192,
679,0.2003704011,
678,0.2008637488,
677,0.2015360296,
676,0.2021373361,
675,0.2027784735,
674,0.2037543803,
673,0.2037580609,
672,0.2051988393,
671,0.205527097,
670,0.2062497884,
669,0.2067036629,
668,0.2073830366,
667,0.2087315023,
666,0.2093442976,
665,0.2098961323,
664,0.2104372829,
663,0.2116836607,
662,0.2117966264,
661,0.2126617283,
660,0.2138920277,
659,0.2144465297,
658,0.2153712958,
657,0.2162164748,
656,0.2172240615,
655,0.2176672518,
654,0.2185930312,
653,0.2194596529,
652,0.2206470817,
651,0.221475184,
650,0.2221407443,
649,0.2232501209,
648,0.2236716896,
647,0.2252062261,
646,0.2255962789,
645,0.2267488688,
644,0.2278376073,
643,0.2288200408,
642,0.2302070707,
641,0.2307893336,
640,0.2320110649,
639,0.2324892431,
638,0.2341894656,
637,0.2351318449,
636,0.2357981354,
635,0.2372668535,
634,0.2389817089,
633,0.239944458,
632,0.2409620285,
631,0.242262274,
630,0.243413642,
629,0.2449034303,
628,0.2467348725,
627,0.2476696521,
626,0.2492413074,
625,0.2508462965,
624,0.2524665892,
623,0.2537962794,
622,0.2557813525,
621,0.2571078539,
620,0.2594886124,
619,0.260554105,
618,0.2626382411,
617,0.264136821,
616,0.2665617466,
615,0.2683565915,
614,0.2705239952,
613,0.2726954818,
612,0.2748514116,
611,0.2776900232,
610,0.2797429562,
609,0.2819766402,
608,0.284537971,
607,0.2873443067,
606,0.2897548378,
605,0.2929434478,
604,0.2959682047,
603,0.2994239032,
602,0.302224189,
601,0.3058481812,
600,0.3095372319,
599,0.313338697,
598,0.3174301982,
597,0.3217973411,
596,0.3262923062,
595,0.3309091628,
594,0.3359075785,
593,0.3416585922,
592,0.3475682437,
591,0.3536167145,
590,0.3599011302,
589,0.3666567206,
588,0.3740262389,
587,0.3821831346,
586,0.3899787366,
585,0.3989928067,
584,0.4082731903,
583,0.4174218476,
582,0.4276315868,
581,0.4375235438,
580,0.4484726787,
579,0.4594702721,
578,0.470613867,
577,0.4816304743,
576,0.4928325117,
575,0.5034792423,
574,0.5138556957,
573,0.5240166783,
572,0.5329633951,
571,0.5412705541,
570,0.5491935611,
569,0.5561385155,
568,0.562800169,
567,0.5670340061,
566,0.5697695017,
565,0.5730706453,
564,0.5745655894,
563,0.5755853653,
562,0.5756111741,
561,0.5753374696,
560,0.5746322274,
559,0.5730288029,
558,0.57171911,
557,0.5702437162,
556,0.5691092014,
555,0.5678775907,
554,0.567686975,
553,0.5678749084,
552,0.5693161488,
551,0.569768548,
550,0.5725409985,
549,0.5755909085,
548,0.5801930428,
547,0.5851613283,
546,0.5912271738,
545,0.5984347463,
544,0.6063620448,
543,0.6150934696,
542,0.6245095134,
541,0.6339476705,
540,0.6454356313,
539,0.655641377,
538,0.6669337153,
537,0.6778396964,
536,0.6891203523,
535,0.6987735629,
534,0.7088859677,
533,0.7182338238,
532,0.7267546654,
531,0.734672606,
530,0.7412045598,
529,0.7468127608,
528,0.7513719797,
527,0.7551757097,
526,0.7582367063,
525,0.7606594563,
524,0.7617914677,
523,0.7628602982,
522,0.7637790442,
521,0.7646030188,
520,0.7653032541,
519,0.7659947276,
518,0.766841352,
517,0.7683457136,
516,0.7703266144,
515,0.7718086243,
514,0.7742736936,
513,0.7769255638,
512,0.779840529,
511,0.7824002504,
510,0.7856495976,
509,0.789198339,
508,0.7909367085,
507,0.7939257026,
506,0.7955937386,
505,0.7970187664,
504,0.7976276278,
503,0.7971640229,
502,0.7952911258,
501,0.7937768698,
500,0.7909108996,
499,0.7867328525,
498,0.7820612192,
497,0.7761268616,
496,0.7697550654,
495,0.7622272372,
494,0.7550680637,
493,0.746756494,
492,0.7376866341,
491,0.7290078402,
490,0.7201106548,
489,0.7103892565,
488,0.7010816932,
487,0.6922993064,
486,0.6827159524,
485,0.673738122,
484,0.6649340391,
483,0.6571417451,
482,0.6484045386,
481,0.6409881711,
480,0.633500576,
479,0.6256356835,
478,0.6180671453,
477,0.6107641459,
476,0.6035116315,
475,0.5965889096,
474,0.5888758898,
473,0.5818917155,
472,0.5743213296,
471,0.5664916635,
470,0.55904603,
469,0.5512399673,
468,0.5432612896,
467,0.5354707241,
466,0.5264901519,
465,0.5180247426,
464,0.5102222562,
463,0.5011338592,
462,0.4930382073,
461,0.4848661423,
460,0.4767782986,
459,0.4689386487,
458,0.4617350399,
457,0.454179287,
456,0.4471591115,
455,0.4408348799,
454,0.4339780807,
453,0.4283208549,
452,0.4225203097,
451,0.4173268378,
450,0.4119660556,
449,0.4065696597,
448,0.4019953609,
447,0.3978850245,
446,0.3936823606,
445,0.3894828558,
444,0.3856481314,
443,0.3814593256,
442,0.3778414428,
441,0.3736995757,
440,0.3702840507,
439,0.3673351705,
438,0.3648290634,
437,0.3612072468,
436,0.3587591648,
435,0.3552121222,
434,0.3525891304,
433,0.3502447605,
432,0.3484612703,
431,0.3459708095,
430,0.3437308073,
429,0.3423439264,
428,0.3408572078,
427,0.339263469,
426,0.3383817971,
425,0.3375064433,
424,0.3361064792,
423,0.335576117,
422,0.3352573812,
421,0.3341478109,
420,0.3340365291,
419,0.334390372,
418,0.3338730037,
417,0.3331232965,
416,0.3338791132,
415,0.3346317112,
414,0.3356763721,
413,0.3359958529,
412,0.3371465504,
411,0.3372111619,
410,0.3382411301,
409,0.3390563726,
408,0.3406037688,
407,0.3417167366,
406,0.34220469,
405,0.344673574,
404,0.3453893363,
403,0.3475246727,
402,0.3493864834,
401,0.3503388464,
400,0.3511767387,
399,0.3550620973,
398,0.3558616042,
397,0.3575765789,
396,0.3596867323,
395,0.3610129952,
394,0.3628214896,
393,0.3658030033,
392,0.3675937653,
391,0.3698116839,
390,0.3734779656,
389,0.3750178218,
388,0.3773997128,
387,0.3810106814,
386,0.3841696084,
385,0.3867737949,
384,0.3909471333,
383,0.3939219713,
382,0.3961771727,
381,0.4005100131,
380,0.4027681649,
379,0.4065961242,
378,0.4092053473,
377,0.4108884335,
376,0.4144723415,
375,0.418456763,
374,0.4199059606,
373,0.4225021601,
372,0.4240437448,
371,0.4270062745,
370,0.4286600947,
369,0.4330192208,
368,0.434007436,
367,0.4369061291,
366,0.4391346872,
365,0.4411824346,
364,0.4458822012,
363,0.4484713376,
362,0.44943887,
361,0.4558585584,
360,0.4574816227,
359,0.4598999619,
358,0.4619697034,
357,0.4624237418,
356,0.4698416293,
355,0.4692502022,
354,0.4721313119,
353,0.4736416936,
352,0.4719574451,
351,0.4829502404,
350,0.480671823,
349,0.4832319021,
348,0.4915258288,
347,0.4855850041,
346,0.4972706735,
345,0.4956045449,
344,0.4850353599,
343,0.492198199,
342,0.493980974,
341,0.5009544492,
340,0.5025845766,
339,0.5198414922,
338,0.5185465217,
337,0.5121533275,
336,0.5137289166,
335,0.5148081779,
334,0.5277040601,
333,0.5289990306,
332,0.5377963781,
331,0.5274780989,
330,0.5394322872,
329,0.5405777097,
328,0.5426014066,
327,0.5526648164,
326,0.5528921485,
325,0.5495966673,
324,0.5602654815,
323,0.5749353766,
322,0.5720458627,
321,0.5787820816,
320,0.5751422644,
319,0.5764080286,
318,0.5886869431,
317,0.5891727805,
316,0.6088502407,
315,0.5951333046,
314,0.6018547416,
313,0.6221362352,
312,0.6191065907,
311,0.6355355978,
310,0.6316601038,
309,0.634349823,
308,0.6545546651,
307,0.6608890295,
306,0.6675617099,
305,0.6759853959,
304,0.6912829876,
303,0.7035843134,
302,0.7142279148,
301,0.7089294195,
300,0.7264329791,
299,0.7335461378,
298,0.7524660826,
297,0.7600222826,
296,0.7589434981,
295,0.7708632946,
294,0.7851481438,
293,0.7764939666,
292,0.7839573026,
291,0.7955564857,
290,0.7993106246,
289,0.8136183619,
288,0.8249137998,
287,0.8208399415,
286,0.8242407441,
285,0.8447132111,
284,0.8386024833,
283,0.851999104,
282,0.8619176149,
281,0.8559139371,
280,0.8733682036,
279,0.8874753118,
278,0.8992311954,
277,0.9074882865,
276,0.9121645689,
275,0.9233823419,
274,0.9381508827,
273,0.9447149634,
272,0.9597064257,
271,0.9724655747,
270,0.9974156022,
269,1.009532571,
268,1.038161993,
267,1.058140516,
266,1.072321177,
265,1.098243475,
264,1.110937476,
263,1.146791577,
262,1.148449302,
261,1.166650176,
260,1.179271579,
259,1.209759355,
258,1.21155715,
257,1.247819066,
256,1.25261271,
255,1.278257132,
254,1.300011754,
253,1.31758225,
252,1.333469152,
251,1.341845751,
250,1.352914691,
249,1.376131535,
248,1.377114177,
247,1.390667677,
246,1.397214055,
245,1.420735717,
244,1.442857981,
243,1.458110094,
242,1.466805816,
241,1.492652655,
240,1.519450188,
239,1.522133708,
238,1.572743773,
237,1.606001139,
236,1.635220885,
235,1.662454367,
234,1.693058848,
233,1.729476094,
232,1.776875734,
231,1.822528839,
230,1.825197577,
229,1.881035209,
228,1.924126744,
227,1.924221396,
226,1.993134379,
225,2.013823509,
224,2.029034138,
223,2.072936773,
222,2.073489666,
221,2.076020479,
220,2.106975794,
219,2.11848402,
218,2.072381496,
217,2.076677561,
216,2.062571287,
215,2.053567648,
214,2.04148984,
213,1.963004112,
212,1.95709157,
211,1.969936132,
210,1.958481312,
209,1.871489048,
208,1.961702228,
207,1.93043375,
206,1.880708694,
205,1.874671698,
204,1.914537549,
203,1.862116694,
202,1.860785604,
201,1.849101424,
200,1.838135481,

JS187_JS16_5E-5_H2O_0_100_ASPREP,
JS187_JS16_5E-5_H2O_0_100_ASPREP
Collection Time: 9/14/2023 10:29:05 AM
Operator Name  :
Scan Software Version: 4.20(470)
Parameter List :
Instrument                        Cary 300
Instrument Version                12.00
Start (nm)                        800.00
Stop (nm)                         200.00
X Mode                            Nanometers
Y Mode                            Abs
UV-Vis Scan Rate (nm/min)         600.000
UV-Vis Data Interval (nm)         1.000
UV-Vis Ave. Time (sec)            0.100
UV-Vis SBW (nm)                   2.0
Beam Mode                         Double
Signal-to-noise Mode              Off
UV Source                         On
Vis Source                        On
Source Changeover (nm)            350.00
Baseline Correction               On
Baseline Type                     Baseline correction
Baseline File Name                C:\Users\ISIS\Desktop\Hermans UVVIS Data\Jorge\JS187\20230913\H2O.CSW
Baseline Std Ref File Name
Cycle Mode                        Off
Accessory                         Cell changer
Temperature (°C)                  20.02
Comments
Method Log     :
Method Name    :
Date/Time stamp: 9/14/2023 10:25:43 AM
Method Modifications:
Baseline Correction Changed: 9/14/2023 10:27:05 AM, Old:0, New:1
Baseline file Changed: 9/14/2023 10:27:05 AM, Old:, New:C:\Users\ISIS\Desktop\Hermans UVVIS Data\Jorge\JS187\20230913\H2O.CSW
Cell Changer Changed: 9/14/2023 10:27:25 AM, Old:OFF, New:ON
Cell2 Changed: 9/14/2023 10:27:25 AM, Old:ON, New:OFF
Cell3 Changed: 9/14/2023 10:27:25 AM, Old:ON, New:OFF
Cell4 Changed: 9/14/2023 10:27:25 AM, Old:ON, New:OFF
Cell5 Changed: 9/14/2023 10:27:25 AM, Old:ON, New:OFF
Cell6 Changed: 9/14/2023 10:27:25 AM, Old:ON, New:OFF
Auto Temp Setting Changed: 9/14/2023 10:27:25 AM, Old:0, New:1
Block Temp Changed: 9/14/2023 10:27:25 AM, Old:   25.0, New:   20.0
Saved as C:\Users\ISIS\Desktop\Hermans UVVIS Data\Jorge\JS187\20230914\JS187_JS16_5E-5_H2O_0_100_ASPREP.BSW
End Method Modifications
<Current Block Temp> , 20.02
<Current Cell> , 1
<SBW (nm)> , 2.00
<Energy> , 232.00
<Current Wavelength> , 200.00

