TITLE	SPDI_5-5_DMSO_ADJ-3
DATA TYPE	FLUORESCENCE SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	25/11/07
TIME	11:08:00
SPECTROMETER/DATA SYSTEM	
LOCALE	3082
RESOLUTION	
DELTAX	1
XUNITS	NANOMETERS
YUNITS	INTENSITY
FIRSTX	  535,0000
LASTX	  800,0000
NPOINTS	     266
FIRSTY	  2699,03906
MAXY	  4958,16650
MINY	     2,47070
XYDATA
535,0000	2699,04
536,0000	3083,83
537,0000	3465,42
538,0000	3799,64
539,0000	4129,92
540,0000	4426
541,0000	4608,53
542,0000	4784,12
543,0000	4922,15
544,0000	4958,17
545,0000	4914,27
546,0000	4838,42
547,0000	4680,43
548,0000	4498,68
549,0000	4319,64
550,0000	4108,82
551,0000	3886,89
552,0000	3660,01
553,0000	3447,44
554,0000	3208,3
555,0000	3025,31
556,0000	2886,39
557,0000	2725,91
558,0000	2588,43
559,0000	2483,6
560,0000	2382,92
561,0000	2299,12
562,0000	2232,43
563,0000	2206,14
564,0000	2194,6
565,0000	2211,81
566,0000	2243,71
567,0000	2299,7
568,0000	2329,83
569,0000	2381,96
570,0000	2483,18
571,0000	2576,3
572,0000	2672,49
573,0000	2759,39
574,0000	2846,06
575,0000	2922,04
576,0000	2980,99
577,0000	3032,69
578,0000	3047
579,0000	3062,89
580,0000	3069,69
581,0000	3059,66
582,0000	3039,35
583,0000	2967,54
584,0000	2909,61
585,0000	2850,43
586,0000	2770,53
587,0000	2666,62
588,0000	2570,98
589,0000	2456,52
590,0000	2354,08
591,0000	2254,12
592,0000	2148,93
593,0000	2043,01
594,0000	1936,61
595,0000	1825,34
596,0000	1720,12
597,0000	1618,97
598,0000	1531,94
599,0000	1442,39
600,0000	1355,38
601,0000	1276,29
602,0000	1204,01
603,0000	1128,32
604,0000	1066,18
605,0000	1011,32
606,0000	954,232
607,0000	915,129
608,0000	870,25
609,0000	818,581
610,0000	783,05
611,0000	748,322
612,0000	720,214
613,0000	698,455
614,0000	681,595
615,0000	668,444
616,0000	653,87
617,0000	642,01
618,0000	637,015
619,0000	625,678
620,0000	620,765
621,0000	611,2
622,0000	612,049
623,0000	611,736
624,0000	600,732
625,0000	602,156
626,0000	597,197
627,0000	587,864
628,0000	580,984
629,0000	578,137
630,0000	568,767
631,0000	557,74
632,0000	544,589
633,0000	532,732
634,0000	521,258
635,0000	502,092
636,0000	498,716
637,0000	483,239
638,0000	463,89
639,0000	450,712
640,0000	430,146
641,0000	420,639
642,0000	404,626
643,0000	378,16
644,0000	360,721
645,0000	349,405
646,0000	332,726
647,0000	312,64
648,0000	296,139
649,0000	281,758
650,0000	266,043
651,0000	255,085
652,0000	236,663
653,0000	226,703
654,0000	214,482
655,0000	201,72
656,0000	189,427
657,0000	179,057
658,0000	167,985
659,0000	162,471
660,0000	156,228
661,0000	143,019
662,0000	135,25
663,0000	125,456
664,0000	121,07
665,0000	113,104
666,0000	107,543
667,0000	103,491
668,0000	98,2455
669,0000	92,837
670,0000	91,333
671,0000	85,7915
672,0000	83,5429
673,0000	78,6679
674,0000	73,5891
675,0000	69,5067
676,0000	69,862
677,0000	66,007
678,0000	64,4193
679,0000	59,5718
680,0000	56,8949
681,0000	58,7808
682,0000	58,2541
683,0000	52,6529
684,0000	51,2199
685,0000	52,1203
686,0000	51,4481
687,0000	50,5268
688,0000	50,0753
689,0000	47,9452
690,0000	46,7098
691,0000	44,657
692,0000	45,2247
693,0000	42,5929
694,0000	41,9827
695,0000	39,6242
696,0000	38,7531
697,0000	37,6033
698,0000	34,8253
699,0000	32,8084
700,0000	33,162
701,0000	33,8311
702,0000	32,4349
703,0000	29,134
704,0000	29,7177
705,0000	27,2074
706,0000	25,4877
707,0000	24,2623
708,0000	24,3931
709,0000	24,1424
710,0000	23,1522
711,0000	21,639
712,0000	19,5737
713,0000	19,2576
714,0000	18,2958
715,0000	17,91
716,0000	17,3312
717,0000	18,2622
718,0000	16,7303
719,0000	15,7142
720,0000	15,8007
721,0000	13,7987
722,0000	12,7093
723,0000	13,5118
724,0000	12,976
725,0000	12,3743
726,0000	11,3541
727,0000	10,7914
728,0000	10,0482
729,0000	10,3224
730,0000	10,1136
731,0000	9,5394
732,0000	8,98546
733,0000	8,42206
734,0000	7,55658
735,0000	7,74531
736,0000	7,30541
737,0000	6,79828
738,0000	6,81866
739,0000	6,62552
740,0000	6,47305
741,0000	6,6987
742,0000	6,21947
743,0000	6,14708
744,0000	5,87044
745,0000	6,06218
746,0000	5,82024
747,0000	5,21331
748,0000	5,14906
749,0000	4,9309
750,0000	4,75822
751,0000	4,35221
752,0000	4,54594
753,0000	4,40962
754,0000	4,96665
755,0000	4,90738
756,0000	3,74573
757,0000	3,95313
758,0000	3,84675
759,0000	4,08861
760,0000	4,40652
761,0000	4,23189
762,0000	4,79886
763,0000	4,31305
764,0000	4,04304
765,0000	3,93628
766,0000	3,86106
767,0000	3,94786
768,0000	3,85696
769,0000	3,45366
770,0000	3,46899
771,0000	3,84603
772,0000	3,7261
773,0000	3,49321
774,0000	3,41179
775,0000	3,35321
776,0000	3,12828
777,0000	3,37693
