TITLE	SPDI_5-5_H2O_ADJ-1_NEW-550
DATA TYPE	FLUORESCENCE SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	25/11/07
TIME	11:09:08
SPECTROMETER/DATA SYSTEM	
LOCALE	3082
RESOLUTION	
DELTAX	1
XUNITS	NANOMETERS
YUNITS	INTENSITY
FIRSTX	  560,0000
LASTX	  800,0000
NPOINTS	     241
FIRSTY	     4,22670
MAXY	    44,40986
MINY	     1,01519
XYDATA
560,0000	4,2267
561,0000	4,27844
562,0000	3,86548
563,0000	3,8818
564,0000	3,86265
565,0000	4,30758
566,0000	4,60531
567,0000	4,51594
568,0000	4,74367
569,0000	5,03749
570,0000	4,92156
571,0000	4,73992
572,0000	5,08719
573,0000	5,30465
574,0000	5,49987
575,0000	6,04782
576,0000	6,49407
577,0000	6,16369
578,0000	5,43925
579,0000	5,54997
580,0000	5,97968
581,0000	6,10023
582,0000	6,77223
583,0000	6,47061
584,0000	7,0449
585,0000	7,57956
586,0000	7,97492
587,0000	7,7209
588,0000	7,16015
589,0000	8,1695
590,0000	9,60237
591,0000	9,10316
592,0000	9,56318
593,0000	9,93467
594,0000	9,30331
595,0000	10,4557
596,0000	11,1257
597,0000	11,5417
598,0000	10,9378
599,0000	11,7339
600,0000	12,5653
601,0000	13,1102
602,0000	13,794
603,0000	14,7383
604,0000	15,1624
605,0000	14,6704
606,0000	15,1687
607,0000	17,3531
608,0000	18,0675
609,0000	18,6922
610,0000	21,0588
611,0000	20,8497
612,0000	20,014
613,0000	21,4775
614,0000	21,8206
615,0000	23,5657
616,0000	23,5287
617,0000	25,0377
618,0000	26,7835
619,0000	27,6626
620,0000	27,2474
621,0000	26,9681
622,0000	27,1522
623,0000	28,0497
624,0000	28,7089
625,0000	28,5525
626,0000	31,4979
627,0000	31,0303
628,0000	30,8889
629,0000	33,3507
630,0000	34,1004
631,0000	34,7389
632,0000	35,6228
633,0000	37,3395
634,0000	36,141
635,0000	36,3148
636,0000	37,7768
637,0000	36,6941
638,0000	37,8282
639,0000	38,6628
640,0000	38,8823
641,0000	39,6884
642,0000	39,7084
643,0000	41,0582
644,0000	42,7944
645,0000	41,3804
646,0000	41,2633
647,0000	41,8693
648,0000	42,8618
649,0000	43,1191
650,0000	41,0852
651,0000	40,9426
652,0000	44,4099
653,0000	41,8162
654,0000	42,4787
655,0000	44,2644
656,0000	43,4989
657,0000	43,0638
658,0000	42,5973
659,0000	42,4693
660,0000	43,3929
661,0000	42,6354
662,0000	41,378
663,0000	42,7986
664,0000	42,6271
665,0000	41,2653
666,0000	42,4489
667,0000	40,0387
668,0000	38,4802
669,0000	40,5644
670,0000	39,0663
671,0000	38,5244
672,0000	36,7945
673,0000	38,1821
674,0000	35,0636
675,0000	35,1576
676,0000	35,9807
677,0000	35,9434
678,0000	33,7199
679,0000	35,4638
680,0000	33,2548
681,0000	31,797
682,0000	31,8481
683,0000	29,8959
684,0000	30,1645
685,0000	29,4964
686,0000	29,7319
687,0000	27,5554
688,0000	27,4184
689,0000	27,3446
690,0000	25,9739
691,0000	26,706
692,0000	25,6444
693,0000	24,3601
694,0000	24,1803
695,0000	22,7275
696,0000	21,7586
697,0000	21,1094
698,0000	21,1936
699,0000	21,048
700,0000	21,2521
701,0000	19,9953
702,0000	19,1597
703,0000	19,771
704,0000	19,4082
705,0000	17,9724
706,0000	17,3701
707,0000	18,6102
708,0000	16,4415
709,0000	15,8205
710,0000	15,2598
711,0000	15,358
712,0000	15,0307
713,0000	15,1383
714,0000	14,2626
715,0000	14,029
716,0000	13,0614
717,0000	12,0429
718,0000	12,1277
719,0000	12,8389
720,0000	11,9929
721,0000	10,61
722,0000	11,0838
723,0000	9,91335
724,0000	10,5214
725,0000	10,03
726,0000	10,1932
727,0000	9,0843
728,0000	8,27082
729,0000	8,67844
730,0000	9,09612
731,0000	8,65562
732,0000	7,95562
733,0000	7,71702
734,0000	8,13506
735,0000	7,24991
736,0000	7,5655
737,0000	7,69197
738,0000	6,67945
739,0000	6,58059
740,0000	6,55451
741,0000	6,50499
742,0000	5,68143
743,0000	5,50317
744,0000	5,72251
745,0000	5,24782
746,0000	5,16054
747,0000	5,03719
748,0000	4,8865
749,0000	4,74882
750,0000	4,17407
751,0000	4,20423
752,0000	4,29187
753,0000	4,11184
754,0000	3,70296
755,0000	3,66116
756,0000	3,4615
757,0000	3,96888
758,0000	3,87106
759,0000	3,31711
760,0000	3,71551
761,0000	3,61254
762,0000	3,08589
763,0000	2,65875
764,0000	3,01011
765,0000	3,1519
766,0000	2,98876
767,0000	2,93437
768,0000	2,40887
769,0000	2,31463
770,0000	2,86714
771,0000	2,77053
772,0000	2,1072
773,0000	2,03914
774,0000	2,54393
775,0000	2,20178
776,0000	2,08511
777,0000	1,57277
778,0000	1,59883
779,0000	1,90967
780,0000	1,98917
781,0000	1,75126
782,0000	1,95268
783,0000	1,90044
784,0000	1,85739
785,0000	1,47993
786,0000	1,56588
787,0000	1,40504
788,0000	1,48796
789,0000	1,49885
790,0000	1,20358
791,0000	1,43524
792,0000	1,28992
793,0000	1,15049
794,0000	1,16908
795,0000	1,31391
796,0000	1,40378
